pair,function,method,step,lmax,step_label,n_src,n_tgt,h_src,h_tgt,area_rel_l2,rel_l2,linf,source_integral,target_pred_integral,target_truth_integral,conservation_abs_error_vs_source,target_integral_abs_error_vs_truth,h_max,h_min
CS-r16_to_ICOD-r16,x,tempest,-1,-1,tempest,1536,2562,0.09045015681978345,0.07003503810937581,0.009928297247747471,0.0099747651946991,0.01641913177799098,-4.996003610813204e-16,-4.440892098500626e-16,-6.661338147750939e-16,5.551115123125783e-17,2.220446049250313e-16,0.09045015681978345,0.07003503810937581
CS-r16_to_ICOD-r16,y,tempest,-1,-1,tempest,1536,2562,0.09045015681978345,0.07003503810937581,0.009979262630739763,0.010028663385940705,0.016501698459642833,0.0,2.7755575615628914e-17,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0.09045015681978345,0.07003503810937581
CS-r16_to_ICOD-r16,z,tempest,-1,-1,tempest,1536,2562,0.09045015681978345,0.07003503810937581,0.00984786118332717,0.009857809404273965,0.01659451821216329,0.0,4.440892098500626e-16,9.319989059619616e-06,4.440892098500626e-16,9.319989059175526e-06,0.09045015681978345,0.07003503810937581
CS-r16_to_ICOD-r16,smooth1,tempest,-1,-1,tempest,1536,2562,0.09045015681978345,0.07003503810937581,0.002519545884320345,0.002529232026049816,0.009256527801186576,12.566370614359172,12.566370614359172,12.566371546358079,0.0,9.319989064948686e-07,0.09045015681978345,0.07003503810937581
CS-r16_to_ICOD-r16,smooth2,tempest,-1,-1,tempest,1536,2562,0.09045015681978345,0.07003503810937581,0.0033907349981703657,0.003401391757493217,0.011747324526433234,13.231171152281538,13.231171152281538,13.231174413306311,0.0,3.2610247728825925e-06,0.09045015681978345,0.07003503810937581
CS-r32_to_ICOD-r32,x,tempest,-1,-1,tempest,6144,10242,0.04522507840989173,0.03502777458838404,0.004905661097953264,0.004929715943242686,0.009624541841253276,-4.996003610813204e-16,-3.885780586188048e-16,-4.440892098500626e-16,1.1102230246251565e-16,5.551115123125783e-17,0.04522507840989173,0.03502777458838404
CS-r32_to_ICOD-r32,y,tempest,-1,-1,tempest,6144,10242,0.04522507840989173,0.03502777458838404,0.004896073347475802,0.004919146388145622,0.008423742298850678,0.0,0.0,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.04522507840989173,0.03502777458838404
CS-r32_to_ICOD-r32,z,tempest,-1,-1,tempest,6144,10242,0.04522507840989173,0.03502777458838404,0.004796652161505245,0.004791904547080676,0.008480099802669505,-2.7755575615628914e-16,0.0,2.644768591686386e-06,2.7755575615628914e-16,2.644768591686386e-06,0.04522507840989173,0.03502777458838404
CS-r32_to_ICOD-r32,smooth1,tempest,-1,-1,tempest,6144,10242,0.04522507840989173,0.03502777458838404,0.0012454776192519035,0.0012501059682261738,0.004779583977017943,12.566370614359172,12.566370614359172,12.566370878836032,0.0,2.644768599679992e-07,0.04522507840989173,0.03502777458838404
CS-r32_to_ICOD-r32,smooth2,tempest,-1,-1,tempest,6144,10242,0.04522507840989173,0.03502777458838404,0.0016730681736574302,0.001678038925503193,0.008081683797167782,13.231171822700507,13.231171822700507,13.231172677916465,0.0,8.552159584951369e-07,0.04522507840989173,0.03502777458838404
