pair,function,method,step,lmax,step_label,n_src,n_tgt,h_src,h_tgt,area_rel_l2,rel_l2,linf,source_integral,target_pred_integral,target_truth_integral,conservation_abs_error_vs_source,target_integral_abs_error_vs_truth,h_max,h_min
CS-r16_to_ICOD-r16,x,tempest,-1,-1,tempest,1536,2562,0.09045015681978345,0.07003503810937581,0.009928297247747471,0.0099747651946991,0.01641913177799098,-4.996003610813204e-16,-4.440892098500626e-16,-6.661338147750939e-16,5.551115123125783e-17,2.220446049250313e-16,0.09045015681978345,0.07003503810937581
CS-r16_to_ICOD-r16,x,irno,0,0,base,1536,2562,0.09045015681978345,0.07003503810937581,0.010682922414419909,0.0107285697889554,0.02126851554843369,-4.996003610813204e-16,-3.556720729047669e-08,-6.661338147750939e-16,3.556720679087633e-08,3.556720662434287e-08,0.09045015681978345,0.07003503810937581
CS-r16_to_ICOD-r16,x,irno,1,8,corrected_lmax8,1536,2562,0.09045015681978345,0.07003503810937581,0.010690445598293182,0.010738066626516279,0.021396585525721726,-4.996003610813204e-16,-4.2641926656372675e-09,-6.661338147750939e-16,4.2641921660369064e-09,4.264191999503453e-09,0.09045015681978345,0.07003503810937581
CS-r16_to_ICOD-r16,x,irno,2,16,corrected_lmax16,1536,2562,0.09045015681978345,0.07003503810937581,0.010727959390799633,0.010777476120356703,0.021654177160949514,-4.996003610813204e-16,-1.501005453263815e-08,-6.661338147750939e-16,1.501005403303779e-08,1.5010053866504336e-08,0.09045015681978345,0.07003503810937581
CS-r16_to_ICOD-r16,x,irno,3,24,corrected_lmax24,1536,2562,0.09045015681978345,0.07003503810937581,0.010792533264517361,0.010843810384674999,0.02199164713175887,-4.996003610813204e-16,-2.2313729419742856e-08,-6.661338147750939e-16,2.2313728920142495e-08,2.231372875360904e-08,0.09045015681978345,0.07003503810937581
CS-r16_to_ICOD-r16,y,tempest,-1,-1,tempest,1536,2562,0.09045015681978345,0.07003503810937581,0.009979262630739763,0.010028663385940705,0.016501698459642833,0.0,2.7755575615628914e-17,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0.09045015681978345,0.07003503810937581
CS-r16_to_ICOD-r16,y,irno,0,0,base,1536,2562,0.09045015681978345,0.07003503810937581,0.010883185967070186,0.01093529030384097,0.0204513597666392,0.0,2.4096975248522057e-09,0.0,2.4096975248522057e-09,2.4096975248522057e-09,0.09045015681978345,0.07003503810937581
CS-r16_to_ICOD-r16,y,irno,1,8,corrected_lmax8,1536,2562,0.09045015681978345,0.07003503810937581,0.010883771585204502,0.0109372905842392,0.020315776038738353,0.0,-2.8538723051418913e-09,0.0,2.8538723051418913e-09,2.8538723051418913e-09,0.09045015681978345,0.07003503810937581
CS-r16_to_ICOD-r16,y,irno,2,16,corrected_lmax16,1536,2562,0.09045015681978345,0.07003503810937581,0.010924409049413521,0.010979315002972308,0.02020695976167547,0.0,1.8055402034589108e-08,0.0,1.8055402034589108e-08,1.8055402034589108e-08,0.09045015681978345,0.07003503810937581
CS-r16_to_ICOD-r16,y,irno,3,24,corrected_lmax24,1536,2562,0.09045015681978345,0.07003503810937581,0.010993616352272582,0.01104988331549444,0.02040148327472252,0.0,1.8991364175713343e-08,0.0,1.8991364175713343e-08,1.8991364175713343e-08,0.09045015681978345,0.07003503810937581
CS-r16_to_ICOD-r16,z,tempest,-1,-1,tempest,1536,2562,0.09045015681978345,0.07003503810937581,0.00984786118332717,0.009857809404273965,0.01659451821216329,0.0,4.440892098500626e-16,9.319989059619616e-06,4.440892098500626e-16,9.319989059175526e-06,0.09045015681978345,0.07003503810937581
CS-r16_to_ICOD-r16,z,irno,0,0,base,1536,2562,0.09045015681978345,0.07003503810937581,0.00855521820422897,0.008555604074594518,0.015104670443510215,0.0,1.8272878321567987e-08,9.319989059619616e-06,1.8272878321567987e-08,9.301716181298048e-06,0.09045015681978345,0.07003503810937581
CS-r16_to_ICOD-r16,z,irno,1,8,corrected_lmax8,1536,2562,0.09045015681978345,0.07003503810937581,0.008595697245568315,0.008596360994460045,0.014943580058468298,0.0,3.784073054902137e-09,9.319989059619616e-06,3.784073054902137e-09,9.316204986564713e-06,0.09045015681978345,0.07003503810937581
CS-r16_to_ICOD-r16,z,irno,2,16,corrected_lmax16,1536,2562,0.09045015681978345,0.07003503810937581,0.00866247967474492,0.008663405276259521,0.014784134553874673,0.0,2.9585631278195024e-08,9.319989059619616e-06,2.9585631278195024e-08,9.29040342834142e-06,0.09045015681978345,0.07003503810937581
