pair,function,method,step,lmax,step_label,n_src,n_tgt,h_src,h_tgt,area_rel_l2,rel_l2,linf,source_integral,target_pred_integral,target_truth_integral,conservation_abs_error_vs_source,target_integral_abs_error_vs_truth,h_max,h_min
CS-r32_to_RLL-r90-180,x,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.006777230165782993,0.01076913819958858,0.024229272878471455,-1.6653345369377348e-16,-5.030698080332741e-16,-1.6046192152785466e-16,3.365363543395006e-16,3.426078865054194e-16,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,y,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.006777230165782994,0.01076913819958858,0.024229272878471472,0.0,-1.3877787807814457e-17,5.273559366969494e-16,1.3877787807814457e-17,5.412337245047638e-16,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,z,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.004917539102491655,0.003591506126757078,0.008411502077610322,2.220446049250313e-16,0.0,-8.881784197001252e-16,2.220446049250313e-16,8.881784197001252e-16,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth1,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.0019251380572921615,0.002655239553238884,0.014946159923791558,12.566370614359172,12.566370614359172,12.566370614359172,0.0,0.0,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth2,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.002109368058414099,0.002820497210002254,0.013962258932873839,13.231171822700507,13.231171822700507,13.231165459211667,0.0,6.3634888398667044e-06,0.04522507840989173,0.02785142527367778
CS-r64_to_RLL-r180-360,x,tempest,-1,-1,tempest,24576,64800,0.022612539204945863,0.01392571263683889,0.0033304318376187673,0.005167223018896785,0.012194462534979222,-2.220446049250313e-16,-5.538104697055957e-16,-1.9526481126463935e-16,3.3176586478056436e-16,3.585456584409563e-16,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,y,tempest,-1,-1,tempest,24576,64800,0.022612539204945863,0.01392571263683889,0.0033304318376187743,0.005167223018896788,0.012194462534979179,0.0,-4.163336342344337e-17,5.447031714567174e-16,4.163336342344337e-17,5.863365348801608e-16,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,z,tempest,-1,-1,tempest,24576,64800,0.022612539204945863,0.01392571263683889,0.0023952009615760806,0.0017503779678283585,0.0035440794584157224,-3.3306690738754696e-16,4.440892098500626e-16,0.0,7.771561172376096e-16,4.440892098500626e-16,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,smooth1,tempest,-1,-1,tempest,24576,64800,0.022612539204945863,0.01392571263683889,0.000935736584410268,0.0012768482873158475,0.007844244372260611,12.566370614359172,12.566370614359172,12.56637061435917,0.0,1.7763568394002505e-15,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,smooth2,tempest,-1,-1,tempest,24576,64800,0.022612539204945863,0.01392571263683889,0.001045972526331591,0.0013636840300243383,0.007002252274340037,13.231171988743508,13.23117198874351,13.231170400483911,1.7763568394002505e-15,1.5882595985061698e-06,0.022612539204945863,0.01392571263683889
CS-r128_to_RLL-r360-720,x,tempest,-1,-1,tempest,98304,259200,0.011306269602471148,0.006962856318418347,0.0016544930695486864,0.002526772240025517,0.006116730696684921,-8.881784197001252e-16,-5.54067967721561e-16,-1.7794468155918342e-16,3.3411045197856426e-16,3.7612328616237756e-16,0.011306269602471148,0.006962856318418347
CS-r128_to_RLL-r360-720,y,tempest,-1,-1,tempest,98304,259200,0.011306269602471148,0.006962856318418347,0.0016544930695486806,0.002526772240025513,0.006116730696684941,2.220446049250313e-16,1.4203048459560108e-17,5.161886543203487e-16,2.078415564654712e-16,5.019856058607886e-16,0.011306269602471148,0.006962856318418347
CS-r128_to_RLL-r360-720,z,tempest,-1,-1,tempest,98304,259200,0.011306269602471148,0.006962856318418347,0.0011875044647598426,0.0008674387424201372,0.001772459879853693,-5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.011306269602471148,0.006962856318418347
CS-r128_to_RLL-r360-720,smooth1,tempest,-1,-1,tempest,98304,259200,0.011306269602471148,0.006962856318418347,0.00046290360585238315,0.0006249589536600445,0.00404899654496349,12.566370614355206,12.566370614355204,12.566370614355208,1.7763568394002505e-15,3.552713678800501e-15,0.011306269602471148,0.006962856318418347
CS-r128_to_RLL-r360-720,smooth2,tempest,-1,-1,tempest,98304,259200,0.011306269602471148,0.006962856318418347,0.0005211175044289944,0.000669511950085871,0.0035061905132349747,13.231172030152997,13.231172030152997,13.231171633251392,0.0,3.969016049154561e-07,0.011306269602471148,0.006962856318418347
