method,step,lmax,step_label,function,coarse_pair,fine_pair,h_col,h_coarse,h_fine,E_coarse,E_fine,observed_order
tempest,-1,-1,tempest,smooth1,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.0019251380572921615,0.000935736584410268,1.040787544838359
tempest,-1,-1,tempest,smooth1,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.000935736584410268,0.00046290360585238315,1.0153906587073542
tempest,-1,-1,tempest,smooth2,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.002109368058414099,0.001045972526331591,1.011965891342688
tempest,-1,-1,tempest,smooth2,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.001045972526331591,0.0005211175044289944,1.0051643369646903
tempest,-1,-1,tempest,x,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.006777230165782993,0.0033304318376187673,1.0249865133053007
tempest,-1,-1,tempest,x,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0033304318376187673,0.0016544930695486864,1.0093200068481973
tempest,-1,-1,tempest,y,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.006777230165782994,0.0033304318376187743,1.0249865133052978
tempest,-1,-1,tempest,y,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0033304318376187743,0.0016544930695486806,1.0093200068482053
tempest,-1,-1,tempest,z,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.004917539102491655,0.0023952009615760806,1.0377898186457244
tempest,-1,-1,tempest,z,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0023952009615760806,0.0011875044647598426,1.0122137680174483
