pair,function,method,step,lmax,step_label,n_src,n_tgt,h_src,h_tgt,area_rel_l2,rel_l2,linf,source_integral,target_pred_integral,target_truth_integral,conservation_abs_error_vs_source,target_integral_abs_error_vs_truth,h_max,h_min
CS-r32_to_RLL-r90-180,x,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.006777230165782993,0.01076913819958858,0.024229272878471455,-1.6653345369377348e-16,-5.030698080332741e-16,-1.6046192152785466e-16,3.365363543395006e-16,3.426078865054194e-16,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,x,irno,0,0,base,6144,16200,0.04522507840989173,0.02785142527367778,0.0058272867014883,0.008981406628876837,0.013924008693792296,-1.6653345369377348e-16,-1.6180185724232188e-09,-1.6046192152785466e-16,1.618018405889765e-09,1.6180184119612973e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,x,irno,1,8,corrected_lmax8,6144,16200,0.04522507840989173,0.02785142527367778,0.005858898542144026,0.00898070222337499,0.013024972481672751,-1.6653345369377348e-16,1.5419615263453923e-09,-1.6046192152785466e-16,1.541961692878846e-09,1.5419616868073138e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,x,irno,2,16,corrected_lmax16,6144,16200,0.04522507840989173,0.02785142527367778,0.005892566074836032,0.008981909699090879,0.013190302466894096,-1.6653345369377348e-16,-1.956595574881953e-08,-1.6046192152785466e-16,1.9565955582286076e-08,1.956595558835761e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,x,irno,3,24,corrected_lmax24,6144,16200,0.04522507840989173,0.02785142527367778,0.005916106954737757,0.008959977074936797,0.013314857503878137,-1.6653345369377348e-16,-1.106276610422785e-08,-1.6046192152785466e-16,1.1062765937694397e-08,1.1062765943765929e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,y,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.006777230165782994,0.01076913819958858,0.024229272878471472,0.0,-1.3877787807814457e-17,5.273559366969494e-16,1.3877787807814457e-17,5.412337245047638e-16,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,y,irno,0,0,base,6144,16200,0.04522507840989173,0.02785142527367778,0.005810588625035609,0.008936706433640097,0.01387790056499038,0.0,-2.638581020342201e-09,5.273559366969494e-16,2.638581020342201e-09,2.638581547698138e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,y,irno,1,8,corrected_lmax8,6144,16200,0.04522507840989173,0.02785142527367778,0.005864718978748151,0.008960400287828891,0.013060319838193118,0.0,-3.819877594790633e-09,5.273559366969494e-16,3.819877594790633e-09,3.819878122146569e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,y,irno,2,16,corrected_lmax16,6144,16200,0.04522507840989173,0.02785142527367778,0.0059152363189434965,0.008975044633729988,0.013117858086854074,0.0,3.760177294531708e-09,5.273559366969494e-16,3.760177294531708e-09,3.760176767175771e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,y,irno,3,24,corrected_lmax24,6144,16200,0.04522507840989173,0.02785142527367778,0.005957631903385772,0.008974467395510173,0.01315617465580728,0.0,1.9526258179802802e-09,5.273559366969494e-16,1.9526258179802802e-09,1.9526252906243435e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,z,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.004917539102491655,0.003591506126757078,0.008411502077610322,2.220446049250313e-16,0.0,-8.881784197001252e-16,2.220446049250313e-16,8.881784197001252e-16,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,z,irno,0,0,base,6144,16200,0.04522507840989173,0.02785142527367778,0.004592121397277303,0.003484784670508295,0.00669204566312126,2.220446049250313e-16,-4.702388700650317e-09,-8.881784197001252e-16,4.702388922694922e-09,4.702387812471898e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,z,irno,1,8,corrected_lmax8,6144,16200,0.04522507840989173,0.02785142527367778,0.004638395524426016,0.003500213639934628,0.006722335042514571,2.220446049250313e-16,1.0081651957705162e-08,-8.881784197001252e-16,1.0081651735660557e-08,1.0081652845883582e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,z,irno,2,16,corrected_lmax16,6144,16200,0.04522507840989173,0.02785142527367778,0.004695038716286225,0.0035222549458428848,0.0067801310337385345,2.220446049250313e-16,2.857257541677427e-09,-8.881784197001252e-16,2.857257319632822e-09,2.8572584298558468e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,z,irno,3,24,corrected_lmax24,6144,16200,0.04522507840989173,0.02785142527367778,0.004754750338918713,0.00354661328636503,0.006841733625395641,2.220446049250313e-16,1.782613479051065e-08,-8.881784197001252e-16,1.7826134568466045e-08,1.782613567868907e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth1,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.0019251380572921615,0.002655239553238884,0.014946159923791558,12.566370614359172,12.566370614359172,12.566370614359172,0.0,0.0,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth1,irno,0,0,base,6144,16200,0.04522507840989173,0.02785142527367778,0.0015027007678181919,0.001964695538361574,0.008644307004997742,12.566370614359172,12.566370575495483,12.566370614359172,3.886368915573257e-08,3.886368915573257e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth1,irno,1,8,corrected_lmax8,6144,16200,0.04522507840989173,0.02785142527367778,0.001525232006579146,0.001981973756101407,0.008840417262849787,12.566370614359172,12.566370575022502,12.566370614359172,3.933667080957548e-08,3.933667080957548e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth1,irno,2,16,corrected_lmax16,6144,16200,0.04522507840989173,0.02785142527367778,0.0015501828868423391,0.0020007148501243544,0.009037484604055512,12.566370614359172,12.566370555771357,12.566370614359172,5.8587815487953776e-08,5.8587815487953776e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth1,irno,3,24,corrected_lmax24,6144,16200,0.04522507840989173,0.02785142527367778,0.0015728558181536134,0.0020144794051709753,0.009230459632146193,12.566370614359172,12.566370573629824,12.566370614359172,4.072934878251999e-08,4.072934878251999e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth2,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.002109368058414099,0.002820497210002254,0.013962258932873839,13.231171822700507,13.231171822700507,13.231165459211667,0.0,6.3634888398667044e-06,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth2,irno,0,0,base,6144,16200,0.04522507840989173,0.02785142527367778,0.0018945254713252444,0.0024292374559129535,0.009215280248364488,13.231171822700507,13.231171782527078,13.231165459211667,4.0173429027845486e-08,6.323315410838859e-06,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth2,irno,1,8,corrected_lmax8,6144,16200,0.04522507840989173,0.02785142527367778,0.001901034418350437,0.0024276173509198955,0.009244800099296624,13.231171822700507,13.23117177917412,13.231165459211667,4.352638605098491e-08,6.3199624538157195e-06,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth2,irno,2,16,corrected_lmax16,6144,16200,0.04522507840989173,0.02785142527367778,0.0019065916513580914,0.002424320199577209,0.009151878221175247,13.231171822700507,13.23117175439003,13.231165459211667,6.83104772747356e-08,6.295178362591969e-06,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth2,irno,3,24,corrected_lmax24,6144,16200,0.04522507840989173,0.02785142527367778,0.0019082863231718852,0.0024142721748077883,0.008965078280521732,13.231171822700507,13.231171772408155,13.231165459211667,5.0292351616576525e-08,6.313196488250128e-06,0.04522507840989173,0.02785142527367778
CS-r64_to_RLL-r180-360,x,tempest,-1,-1,tempest,24576,64800,0.022612539204945863,0.01392571263683889,0.0033304318376187673,0.005167223018896785,0.012194462534979222,-2.220446049250313e-16,-5.538104697055957e-16,-1.9526481126463935e-16,3.3176586478056436e-16,3.585456584409563e-16,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,x,irno,0,0,base,24576,64800,0.022612539204945863,0.01392571263683889,0.0009815744880799296,0.0013111803260013083,0.0028944733698254,-2.220446049250313e-16,-7.03648162956802e-11,-1.9526481126463935e-16,7.036459425107527e-11,7.036462103086893e-11,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,x,irno,1,8,corrected_lmax8,24576,64800,0.022612539204945863,0.01392571263683889,0.0009650447121336807,0.0012480086555446547,0.0028383238678683287,-2.220446049250313e-16,-2.2066854807193184e-09,-1.9526481126463935e-16,2.2066852586747135e-09,2.206685285454507e-09,0.022612539204945863,0.01392571263683889
