method,step,lmax,step_label,function,coarse_pair,fine_pair,h_col,h_coarse,h_fine,E_coarse,E_fine,observed_order
irno,0,0,base,smooth1,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.0015027007678181919,0.0003280808661607381,2.195434391857359
irno,0,0,base,smooth1,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0003280808661607381,0.0002523678171311844,0.3785235133254443
irno,0,0,base,smooth2,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.0018945254713252444,0.0003925434413212227,2.2709123109370175
irno,0,0,base,smooth2,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0003925434413212227,0.00030987504846465035,0.3411657285778446
irno,0,0,base,x,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.0058272867014883,0.0009815744880799296,2.5696546349934417
irno,0,0,base,x,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0009815744880799296,0.0006511484357326368,0.5921112951693548
irno,0,0,base,y,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.005810588625035609,0.0009741060790005089,2.5765335253613846
irno,0,0,base,y,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0009741060790005089,0.0006514104308628434,0.5805120672343911
irno,0,0,base,z,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.004592121397277303,0.0009346223619780307,2.296705320626205
irno,0,0,base,z,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0009346223619780307,0.0006408252018026694,0.5444526699633825
irno,1,8,corrected_lmax8,smooth1,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.001525232006579146,0.0002948200160798167,2.3711223299557522
irno,1,8,corrected_lmax8,smooth1,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0002948200160798167,0.00022855171813981353,0.3673138115321725
irno,1,8,corrected_lmax8,smooth2,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.001901034418350437,0.0003589913719035908,2.4047635768573556
irno,1,8,corrected_lmax8,smooth2,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0003589913719035908,0.0002936258480706872,0.28997019520329076
