method,step_label,function,n_levels,fit_order,fit_r2,error_coarsest,error_finest
irno,base,smooth1,3,1.286978952591459,0.8575668440934165,0.0015027007678181,0.0002523678171311
irno,base,smooth2,3,1.3060390197573817,0.8460729876703483,0.0018945254713252,0.0003098750484646
irno,base,x,3,1.580882965081284,0.8846440744850006,0.0058272867014883,0.0006511484357326
irno,base,y,3,1.578522796297778,0.8824225475902276,0.0058105886250356,0.0006514104308628
irno,base,z,3,1.420578995294735,0.8874776365734759,0.0045921213972773,0.0006408252018026
irno,corrected_lmax16,smooth1,3,1.3635299824750289,0.8430244124720364,0.0015501828868423,0.0002341294736509
irno,corrected_lmax16,smooth2,3,1.3207053262693405,0.8170653853334432,0.001906591651358,0.0003055722061609
irno,corrected_lmax16,x,3,1.4743354812277794,0.841808412723728,0.005892566074836,0.0007632486662112
irno,corrected_lmax16,y,3,1.4628373581576728,0.8239010950111431,0.0059152363189434,0.0007784957618378
irno,corrected_lmax16,z,3,1.3396554207272808,0.8528433735391362,0.0046950387162862,0.0007329700798467
irno,corrected_lmax24,smooth1,3,1.2991316262475543,0.8518380478021239,0.0015728558181536,0.0002597369506526
irno,corrected_lmax24,smooth2,3,1.2582435625288317,0.826269501523172,0.0019082863231718,0.0003335073651954
irno,corrected_lmax24,x,3,1.3999376778663177,0.8321012311446689,0.0059161069547377,0.0008495511862139
irno,corrected_lmax24,y,3,1.3889261944467015,0.8089831918018551,0.0059576319033857,0.0008686739018783
irno,corrected_lmax24,z,3,1.2941029593674571,0.8471554438994144,0.0047547503389187,0.000790678812912
irno,corrected_lmax8,smooth1,3,1.369218070743828,0.8485517439248762,0.0015252320065791,0.0002285517181398
irno,corrected_lmax8,smooth2,3,1.3473668860303591,0.8296709305333885,0.0019010344183504,0.0002936258480706
irno,corrected_lmax8,x,3,1.5444743188136933,0.8648520045427859,0.005858898542144,0.0006885726719652
irno,corrected_lmax8,y,3,1.5369090096252196,0.8550708679145331,0.0058647189787481,0.0006965235129551
irno,corrected_lmax8,z,3,1.3892118313232398,0.8706261428737034,0.004638395524426,0.0006760501536671
tempest,tempest,smooth1,3,1.0280891017729579,0.9999491493976278,0.0019251380572921,0.0004629036058523
tempest,tempest,smooth2,3,1.0085651141537835,0.9999962101190042,0.002109368058414,0.0005211175044289
tempest,tempest,x,3,1.0171532600767725,0.9999802311365482,0.0067772301657829,0.0016544930695486
tempest,tempest,y,3,1.0171532600767725,0.9999802311365482,0.0067772301657829,0.0016544930695486
tempest,tempest,z,3,1.0250017933315991,0.9999481183312038,0.0049175391024916,0.0011875044647598
