pair,function,method,step,lmax,step_label,n_src,n_tgt,h_src,h_tgt,area_rel_l2,rel_l2,linf,source_integral,target_pred_integral,target_truth_integral,conservation_abs_error_vs_source,target_integral_abs_error_vs_truth,h_max,h_min
ICOD-r16_to_CS-r16,x,tempest,-1,-1,tempest,2562,1536,0.07003503810937581,0.09045015681978345,0.0026843385997908703,0.0026795770317210466,0.00517512505114507,-4.440892098500626e-16,-8.881784197001252e-16,-5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,y,tempest,-1,-1,tempest,2562,1536,0.07003503810937581,0.09045015681978345,0.0027150824677552375,0.00271791027242844,0.0047424189769254554,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,z,tempest,-1,-1,tempest,2562,1536,0.07003503810937581,0.09045015681978345,0.003410958903316442,0.0034029692243631683,0.004644979589003395,9.319989058731437e-06,9.319989059286549e-06,-2.220446049250313e-16,5.551115123125783e-16,9.319989059508593e-06,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,smooth1,tempest,-1,-1,tempest,2562,1536,0.07003503810937581,0.09045015681978345,0.00091197130534636,0.0008980363524983229,0.006230233408096031,12.566371546358079,12.566371546358077,12.566370614359172,1.7763568394002505e-15,9.319989047185118e-07,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,smooth2,tempest,-1,-1,tempest,2562,1536,0.07003503810937581,0.09045015681978345,0.0009379645938807886,0.0009382427645748391,0.0038297384127381484,13.23117441330631,13.231174413306311,13.231171152281537,1.7763568394002505e-15,3.2610247746589494e-06,0.09045015681978345,0.07003503810937581
ICOD-r32_to_CS-r32,x,tempest,-1,-1,tempest,10242,6144,0.03502777458838404,0.04522507840989173,0.001241243457415495,0.0012373116505669294,0.002520297642843339,-3.3306690738754696e-16,-5.551115123125783e-16,-3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.04522507840989173,0.03502777458838404
ICOD-r32_to_CS-r32,y,tempest,-1,-1,tempest,10242,6144,0.03502777458838404,0.04522507840989173,0.0012311554177156727,0.001231862542824712,0.0027573582314817935,0.0,0.0,4.440892098500626e-16,0.0,4.440892098500626e-16,0.04522507840989173,0.03502777458838404
ICOD-r32_to_CS-r32,z,tempest,-1,-1,tempest,10242,6144,0.03502777458838404,0.04522507840989173,0.0016120197156098603,0.0016024897052531388,0.0022518862411129437,2.644768591242297e-06,2.6447685915198527e-06,0.0,2.7755575615628914e-16,2.6447685915198527e-06,0.04522507840989173,0.03502777458838404
ICOD-r32_to_CS-r32,smooth1,tempest,-1,-1,tempest,10242,6144,0.03502777458838404,0.04522507840989173,0.00035760564936563065,0.0003526748780915474,0.003083464872684183,12.566370878836032,12.566370878836032,12.566370614359172,0.0,2.644768599679992e-07,0.04522507840989173,0.03502777458838404
ICOD-r32_to_CS-r32,smooth2,tempest,-1,-1,tempest,10242,6144,0.03502777458838404,0.04522507840989173,0.00041988378979649325,0.00042114090662739146,0.0028460843203386155,13.231172677916465,13.231172677916465,13.231171822700507,0.0,8.552159584951369e-07,0.04522507840989173,0.03502777458838404
