pair,function,method,step,lmax,step_label,n_src,n_tgt,h_src,h_tgt,area_rel_l2,rel_l2,linf,source_integral,target_pred_integral,target_truth_integral,conservation_abs_error_vs_source,target_integral_abs_error_vs_truth,h_max,h_min
ICOD-r16_to_CS-r16,x,tempest,-1,-1,tempest,2562,1536,0.07003503810937581,0.09045015681978345,0.0026843385997908703,0.0026795770317210466,0.00517512505114507,-4.440892098500626e-16,-8.881784197001252e-16,-5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,x,irno,0,0,base,2562,1536,0.07003503810937581,0.09045015681978345,0.0023190779593069088,0.0023165190615844146,0.005114086582159061,-4.440892098500626e-16,6.3015358486850914e-09,-5.551115123125783e-16,6.301536292774301e-09,6.301536403796604e-09,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,x,irno,1,8,corrected_lmax8,2562,1536,0.07003503810937581,0.09045015681978345,0.0023022729396669412,0.0023006340626847517,0.0052076470806471375,-4.440892098500626e-16,8.254355032821792e-09,-5.551115123125783e-16,8.254355476911002e-09,8.254355587933304e-09,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,x,irno,2,16,corrected_lmax16,2562,1536,0.07003503810937581,0.09045015681978345,0.0023396200925135165,0.0023387994937167354,0.005249619067472899,-4.440892098500626e-16,-7.915535282787545e-09,-5.551115123125783e-16,7.915534838698335e-09,7.915534727676032e-09,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,x,irno,3,24,corrected_lmax24,2562,1536,0.07003503810937581,0.09045015681978345,0.002424199749203253,0.0024242161698041363,0.005222761908028839,-4.440892098500626e-16,1.1229144336599717e-08,-5.551115123125783e-16,1.1229144780688927e-08,1.1229144891711229e-08,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,y,tempest,-1,-1,tempest,2562,1536,0.07003503810937581,0.09045015681978345,0.0027150824677552375,0.00271791027242844,0.0047424189769254554,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,y,irno,0,0,base,2562,1536,0.07003503810937581,0.09045015681978345,0.002121312017035886,0.002124985573283113,0.004137369035748739,1.1102230246251565e-16,-4.453214019761731e-09,2.220446049250313e-16,4.453214130784033e-09,4.453214241806336e-09,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,y,irno,1,8,corrected_lmax8,2562,1536,0.07003503810937581,0.09045015681978345,0.002066799434585513,0.002070268241793876,0.004178444574735984,1.1102230246251565e-16,-4.919371132672268e-09,2.220446049250313e-16,4.91937124369457e-09,4.919371354716873e-09,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,y,irno,2,16,corrected_lmax16,2562,1536,0.07003503810937581,0.09045015681978345,0.002074708434734296,0.0020786229655255276,0.0041844156506340435,1.1102230246251565e-16,6.988929879270245e-09,2.220446049250313e-16,6.988929768247942e-09,6.98892965722564e-09,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,y,irno,3,24,corrected_lmax24,2562,1536,0.07003503810937581,0.09045015681978345,0.0021372713683946607,0.0021417970229570056,0.004497070851769092,1.1102230246251565e-16,-6.795439766449363e-10,2.220446049250313e-16,6.795440876672387e-10,6.795441986895412e-10,0.09045015681978345,0.07003503810937581
