method,step_label,function,n_levels,fit_order,fit_r2,error_coarsest,error_finest
irno,base,smooth1,4,0.6619360640048582,0.7820571661282283,0.0008408099149867,0.0002255049390461
irno,base,smooth2,4,0.6684708796555681,0.8720770435514039,0.0007969795371282,0.0002108160221041
irno,base,x,4,0.9247066965947192,0.9754460755708318,0.0023190779593069,0.0003633165902966
irno,base,y,4,0.8945396767696744,0.983719038124391,0.0021213120170358,0.0003470308172201
irno,base,z,4,0.8810344451919172,0.9767251643503657,0.0024158811713552,0.0003878729973247
irno,corrected_lmax16,smooth1,4,0.777069805364333,0.9184712054443095,0.000822161447686,0.0001665541039157
irno,corrected_lmax16,smooth2,4,0.7762632638641966,0.9269219609118104,0.0008252805431114,0.0001730932579017
irno,corrected_lmax16,x,4,1.01029021489755,0.9991098461195004,0.0023396200925135,0.0002921981011664
irno,corrected_lmax16,y,4,0.9281455018412499,0.9982923257405458,0.0020747084347342,0.0003081047798691
irno,corrected_lmax16,z,4,0.9199319642755835,0.9739558539741258,0.0024719526008263,0.0003622967587874
irno,corrected_lmax24,smooth1,4,0.7151714316018187,0.9264600921165991,0.0008312668142716,0.0001849089055846
irno,corrected_lmax24,smooth2,4,0.7089625460488376,0.9344757170848298,0.0008601237859578,0.0002002128633559
irno,corrected_lmax24,x,4,1.0087576095603121,0.9996305905654551,0.0024241997492032,0.0002977463670878
irno,corrected_lmax24,y,4,0.8934220639889384,0.9994829111330549,0.0021372713683946,0.0003364889721246
irno,corrected_lmax24,z,4,0.8922936561394328,0.9828573820039233,0.0025560868341631,0.0003980383859749
irno,corrected_lmax8,smooth1,4,0.7481847973770415,0.8614946744154489,0.0008248781086157,0.0001831868320948
irno,corrected_lmax8,smooth2,4,0.7628101962108653,0.9040264977775846,0.0008031379811994,0.0001761702228297
irno,corrected_lmax8,x,4,0.9746396891560202,0.9921424894844737,0.0023022729396669,0.0003176873593514
irno,corrected_lmax8,y,4,0.9254040596542537,0.9943994637053817,0.0020667994345855,0.0003127427759831
irno,corrected_lmax8,z,4,0.9169811380190142,0.97059512439128,0.0024204091974429,0.0003571904292233
tempest,tempest,smooth1,4,1.1788081938581307,0.9966905518200371,0.0009119713053463,7.8003388429233e-05
tempest,tempest,smooth2,4,1.076173604128598,0.9992094723488849,0.0009379645938807,9.940774181344356e-05
tempest,tempest,x,4,1.0612354846491647,0.9996501135437557,0.0026843385997908,0.0002945983148865
tempest,tempest,y,4,1.0663058589591954,0.9992993097917248,0.0027150824677552,0.0002943117537682
tempest,tempest,z,4,1.0315812856589237,0.9997189355858269,0.0034109589033164,0.0003972357448102
