pair,function,method,step,lmax,step_label,n_src,n_tgt,h_src,h_tgt,area_rel_l2,rel_l2,linf,source_integral,target_pred_integral,target_truth_integral,conservation_abs_error_vs_source,target_integral_abs_error_vs_truth,h_max,h_min
RLL-r90-180_to_CS-r32,x,tempest,-1,-1,tempest,16200,6144,0.02785142527367778,0.04522507840989173,0.0018555148865448668,0.001847451535890357,0.002977245589700906,-1.3704315460216776e-16,-5.551115123125783e-17,-6.106226635438361e-16,8.153200337090993e-17,5.551115123125783e-16,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,y,tempest,-1,-1,tempest,16200,6144,0.02785142527367778,0.04522507840989173,0.0018555148865448728,0.0018474515358903626,0.0029772455897007256,4.649058915617843e-16,6.661338147750939e-16,0.0,2.0122792321330962e-16,6.661338147750939e-16,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,z,tempest,-1,-1,tempest,16200,6144,0.02785142527367778,0.04522507840989173,0.002108774942306092,0.0020725682093799954,0.002978712131634146,-4.440892098500626e-16,-5.551115123125783e-17,0.0,3.885780586188048e-16,5.551115123125783e-17,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,smooth1,tempest,-1,-1,tempest,16200,6144,0.02785142527367778,0.04522507840989173,0.0005323142161822385,0.0005235053959029952,0.0022877978824092926,12.566370614359172,12.566370614359172,12.566370614359172,0.0,0.0,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,smooth2,tempest,-1,-1,tempest,16200,6144,0.02785142527367778,0.04522507840989173,0.0006217600354598308,0.0006255103302816257,0.002633838758288931,13.231165459211667,13.231165459211667,13.231171822700507,0.0,6.3634888398667044e-06,0.04522507840989173,0.02785142527367778
RLL-r180-360_to_CS-r64,x,tempest,-1,-1,tempest,64800,24576,0.01392571263683889,0.022612539204945863,0.000920066681116193,0.0009206071470568602,0.001494800387737057,-1.6783449630075609e-16,-2.220446049250313e-16,-6.106226635438361e-16,5.421010862427522e-17,3.885780586188048e-16,0.022612539204945863,0.01392571263683889
RLL-r180-360_to_CS-r64,y,tempest,-1,-1,tempest,64800,24576,0.01392571263683889,0.022612539204945863,0.0009200666811161891,0.0009206071470568573,0.0014948003877374091,4.787836793695988e-16,6.661338147750939e-16,0.0,1.8735013540549517e-16,6.661338147750939e-16,0.022612539204945863,0.01392571263683889
RLL-r180-360_to_CS-r64,z,tempest,-1,-1,tempest,64800,24576,0.01392571263683889,0.022612539204945863,0.0010254778653669438,0.0010095596760582354,0.0014949849148668155,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.022612539204945863,0.01392571263683889
RLL-r180-360_to_CS-r64,smooth1,tempest,-1,-1,tempest,64800,24576,0.01392571263683889,0.022612539204945863,0.00025162123618519753,0.00024809334550892704,0.0011355825367336259,12.566370614359172,12.566370614359172,12.566370614359172,0.0,0.0,0.022612539204945863,0.01392571263683889
RLL-r180-360_to_CS-r64,smooth2,tempest,-1,-1,tempest,64800,24576,0.01392571263683889,0.022612539204945863,0.00031668958470406754,0.00032075248803592937,0.00133830390146783,13.231170400483911,13.231170400483911,13.231171988743508,0.0,1.588259596729813e-06,0.022612539204945863,0.01392571263683889
RLL-r360-720_to_CS-r128,x,tempest,-1,-1,tempest,259200,98304,0.006962856318418347,0.011306269602471148,0.0004586506797544275,0.0004582412907653292,0.0007481733263494834,-1.5334684477091853e-16,-1.1102230246251565e-16,-4.440892098500626e-16,4.232454230840288e-17,3.3306690738754696e-16,0.011306269602471148,0.006962856318418347
RLL-r360-720_to_CS-r128,y,tempest,-1,-1,tempest,259200,98304,0.006962856318418347,0.011306269602471148,0.00045865067975444024,0.0004582412907653418,0.0007481733263496014,4.810605039318183e-16,4.440892098500626e-16,0.0,3.69712940817557e-17,4.440892098500626e-16,0.011306269602471148,0.006962856318418347
RLL-r360-720_to_CS-r128,z,tempest,-1,-1,tempest,259200,98304,0.006962856318418347,0.011306269602471148,0.0005046265107820798,0.0004970115910888328,0.0007481964301471068,4.440892098500626e-16,1.6653345369377348e-16,1.6653345369377348e-16,2.7755575615628914e-16,0.0,0.011306269602471148,0.006962856318418347
RLL-r360-720_to_CS-r128,smooth1,tempest,-1,-1,tempest,259200,98304,0.006962856318418347,0.011306269602471148,0.00012453749469437255,0.00012279150460904985,0.0005648449775519371,12.566370614355208,12.566370614355206,12.566370614355206,1.7763568394002505e-15,0.0,0.011306269602471148,0.006962856318418347
RLL-r360-720_to_CS-r128,smooth2,tempest,-1,-1,tempest,259200,98304,0.006962856318418347,0.011306269602471148,0.00015787221928099636,0.0001594897883171623,0.0007237682793201916,13.231171633251392,13.231171633251392,13.231172030152997,0.0,3.969016049154561e-07,0.011306269602471148,0.006962856318418347
