pair,function,method,step,lmax,step_label,n_src,n_tgt,h_src,h_tgt,area_rel_l2,rel_l2,linf,source_integral,target_pred_integral,target_truth_integral,conservation_abs_error_vs_source,target_integral_abs_error_vs_truth,h_max,h_min
RLL-r90-180_to_CS-r32,x,tempest,-1,-1,tempest,16200,6144,0.02785142527367778,0.04522507840989173,0.0018555148865448668,0.001847451535890357,0.002977245589700906,-1.3704315460216776e-16,-5.551115123125783e-17,-6.106226635438361e-16,8.153200337090993e-17,5.551115123125783e-16,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,x,irno,0,0,base,16200,6144,0.02785142527367778,0.04522507840989173,0.0017081877747293771,0.0016997367159819654,0.0030367898381915143,-1.3704315460216776e-16,1.3485984551309116e-09,-6.106226635438361e-16,1.3485985921740662e-09,1.3485990657535751e-09,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,x,irno,1,8,corrected_lmax8,16200,6144,0.02785142527367778,0.04522507840989173,0.0016910403969301999,0.0016820348494573606,0.0029904816785969596,-1.3704315460216776e-16,-3.8366987920035456e-09,-6.106226635438361e-16,3.836698654960391e-09,3.836698181380882e-09,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,x,irno,2,16,corrected_lmax16,16200,6144,0.02785142527367778,0.04522507840989173,0.0016850967898122936,0.0016758297348737018,0.0029480488214175954,-1.3704315460216776e-16,-1.0634557845445869e-08,-6.106226635438361e-16,1.0634557708402714e-08,1.0634557234823205e-08,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,x,irno,3,24,corrected_lmax24,16200,6144,0.02785142527367778,0.04522507840989173,0.0016919408772464182,0.001682740495175574,0.0029235250771140753,-1.3704315460216776e-16,-6.958864262607278e-09,-6.106226635438361e-16,6.958864125564124e-09,6.958863651984615e-09,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,y,tempest,-1,-1,tempest,16200,6144,0.02785142527367778,0.04522507840989173,0.0018555148865448728,0.0018474515358903626,0.0029772455897007256,4.649058915617843e-16,6.661338147750939e-16,0.0,2.0122792321330962e-16,6.661338147750939e-16,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,y,irno,0,0,base,16200,6144,0.02785142527367778,0.04522507840989173,0.001689629928538603,0.0016783072400402672,0.003106877429502608,4.649058915617843e-16,-5.878363573685874e-09,0.0,5.878364038591766e-09,5.878363573685874e-09,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,y,irno,1,8,corrected_lmax8,16200,6144,0.02785142527367778,0.04522507840989173,0.0016828301430451527,0.0016708996019367069,0.0030532677213838677,4.649058915617843e-16,7.471445684359423e-10,0.0,7.471441035300508e-10,7.471445684359423e-10,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,y,irno,2,16,corrected_lmax16,16200,6144,0.02785142527367778,0.04522507840989173,0.0016834870597299317,0.0016712537808395499,0.0030210836249889017,4.649058915617843e-16,2.067003235239895e-09,0.0,2.0670027703340033e-09,2.067003235239895e-09,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,y,irno,3,24,corrected_lmax24,16200,6144,0.02785142527367778,0.04522507840989173,0.0016910120073048705,0.0016788397681916207,0.0030301337996833516,4.649058915617843e-16,1.4447004481610293e-08,0.0,1.4447004016704401e-08,1.4447004481610293e-08,0.04522507840989173,0.02785142527367778
