method,step,lmax,step_label,function,coarse_pair,fine_pair,h_col,h_coarse,h_fine,E_coarse,E_fine,observed_order
irno,0,0,base,smooth1,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0004896214885785324,0.00017827230813943095,1.4575842567422714
irno,0,0,base,smooth1,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.00017827230813943095,0.00027076010465540597,-0.6029325597360277
irno,0,0,base,smooth2,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0005598255958449323,0.00020702123276563692,1.4351987072587238
irno,0,0,base,smooth2,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.00020702123276563692,0.00024790017751183174,-0.2599805617119328
irno,0,0,base,x,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0017081877747293771,0.0005416661378301748,1.656990764879588
irno,0,0,base,x,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0005416661378301748,0.00042414224774191153,0.35285571046969894
irno,0,0,base,y,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.001689629928538603,0.0005782488521149212,1.5469448925233635
irno,0,0,base,y,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0005782488521149212,0.0004062767791979244,0.5092275874591494
irno,0,0,base,z,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0018765460659565377,0.0008073327602598709,1.2168443660894335
irno,0,0,base,z,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0008073327602598709,0.0004531957051755405,0.8330292459660268
irno,1,8,corrected_lmax8,smooth1,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0004842077077288177,0.00018769387287768905,1.3672444894025995
irno,1,8,corrected_lmax8,smooth1,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.00018769387287768905,0.00025040427232511994,-0.41587762205907003
irno,1,8,corrected_lmax8,smooth2,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0005549742473059053,0.00021102209379032005,1.3950267715682065
irno,1,8,corrected_lmax8,smooth2,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.00021102209379032005,0.00023400828657087663,-0.14916556313782553
irno,1,8,corrected_lmax8,x,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0016910403969301999,0.0005576988261193981,1.6003529850001317
irno,1,8,corrected_lmax8,x,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0005576988261193981,0.0004047397950085826,0.46249152901023954
irno,1,8,corrected_lmax8,y,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0016828301430451527,0.0005919855929072709,1.5072555944959563
irno,1,8,corrected_lmax8,y,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0005919855929072709,0.00039412995248106197,0.5868906722022633
irno,1,8,corrected_lmax8,z,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0018896343732833828,0.000828535883785101,1.189471026492482
irno,1,8,corrected_lmax8,z,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.000828535883785101,0.0004456793626255975,0.8945580238573039
irno,2,16,corrected_lmax16,smooth1,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0004821543104818349,0.00019331843200476502,1.3185157476077018
irno,2,16,corrected_lmax16,smooth1,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.00019331843200476502,0.00022790969035189928,-0.23748306866494506
irno,2,16,corrected_lmax16,smooth2,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0005554444617636247,0.00022059574283097243,1.3322377161167482
irno,2,16,corrected_lmax16,smooth2,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.00022059574283097243,0.00022165845817316093,-0.00693346542110663
irno,2,16,corrected_lmax16,x,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0016850967898122936,0.0005847416700569742,1.5269601504410366
irno,2,16,corrected_lmax16,x,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0005847416700569742,0.00038244900029040516,0.6125320280611226
irno,2,16,corrected_lmax16,y,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0016834870597299317,0.0006087045744569175,1.4676385188849803
irno,2,16,corrected_lmax16,y,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0006087045744569175,0.0003871442344949291,0.652871050681363
irno,2,16,corrected_lmax16,z,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0019143180358457694,0.0008457317997508154,1.1785584018464064
irno,2,16,corrected_lmax16,z,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0008457317997508154,0.0004379845836219326,0.9493201352916051
irno,3,24,corrected_lmax24,smooth1,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0004843639476319036,0.00020526643384414183,1.2385937554908388
irno,3,24,corrected_lmax24,smooth1,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.00020526643384414183,0.00022304404093126694,-0.11983087384370808
irno,3,24,corrected_lmax24,smooth2,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0005606994009136614,0.0002428961867222491,1.2068876873572827
irno,3,24,corrected_lmax24,smooth2,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0002428961867222491,0.00022672574385679443,0.09939162799834049
irno,3,24,corrected_lmax24,x,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0016919408772464182,0.0006238093425912851,1.439502091403743
irno,3,24,corrected_lmax24,x,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0006238093425912851,0.0003768775982371266,0.7270091165008312
irno,3,24,corrected_lmax24,y,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0016910120073048705,0.0006372972034264702,1.4078486688002336
irno,3,24,corrected_lmax24,y,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0006372972034264702,0.00040112678076275265,0.6679080407376997
irno,3,24,corrected_lmax24,z,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0019456165083278148,0.0008655912644362083,1.1684695303996726
irno,3,24,corrected_lmax24,z,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0008655912644362083,0.0004451106335125041,0.9595219729304447
tempest,-1,-1,tempest,smooth1,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0005323142161822385,0.00025162123618519753,1.0810244088237735
tempest,-1,-1,tempest,smooth1,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.00025162123618519753,0.00012453749469437255,1.0146735250072505
tempest,-1,-1,tempest,smooth2,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0006217600354598308,0.00031668958470406754,0.9732884675633862
tempest,-1,-1,tempest,smooth2,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.00031668958470406754,0.00015787221928099636,1.0043120977587496
