direction,method,step_label,mean_finest_error,mean_ratio_vs_tempest,max_ratio_vs_tempest,mean_order,min_order,mean_r2
CS_to_ICOD_4level,irno,base,0.0012089179872042401,1.722967870764371,2.821661899848533,1.1437481459349457,0.832893900879783,0.7904440572986173
CS_to_ICOD_4level,irno,corrected_lmax16,0.00143370936500784,2.03823741961662,3.3198726375830176,1.0511566297961168,0.7620718874626516,0.7526976948763864
CS_to_ICOD_4level,irno,corrected_lmax24,0.00157040074727566,2.2226333396361864,3.593601011530357,1.0023781880824874,0.7278692396881445,0.7354855005009231
CS_to_ICOD_4level,irno,corrected_lmax8,0.00131337349896066,1.871942928893933,3.0630826921664025,1.0984432646625553,0.7964551448977611,0.7712631404887017
CS_to_ICOD_4level,tempest,tempest,0.0008656262684098401,1.0,1.0,1.014005850202341,1.0122182210388455,0.9999773900481763
CS_to_RLL_3level,irno,base,0.00120139446235266,1.2966321184314504,1.820493560736459,0.7620362893848578,0.3864646992484369,0.5855939713165078
CS_to_RLL_3level,irno,corrected_lmax16,0.00139665428881904,1.5141611157217845,2.1341037408492496,0.6945333350358384,0.3171936678270915,0.5000230670298439
CS_to_RLL_3level,irno,corrected_lmax24,0.0015239632689550199,1.6491405033012594,2.312568549608504,0.6536428454517432,0.2829075711153967,0.46862392345919135
CS_to_RLL_3level,irno,corrected_lmax8,0.00129010230041658,1.3974871903913892,1.970753025610866,0.7295118240964181,0.3502247865730502,0.5390536806603533
CS_to_RLL_3level,tempest,tempest,0.00109610234282764,1.0,1.0,1.019192505882377,1.0085651141537837,0.9999707880241864
ICOD_to_CS_4level,irno,base,0.0007763748683864,4.511232007824241,8.06505975726606,0.6162076770114955,0.3292203752964374,0.5961688897404208
ICOD_to_CS_4level,irno,corrected_lmax16,0.00089494819420978,5.2092035039915165,9.352238307715696,0.5006265486044524,0.2189399569931828,0.5049897256458769
ICOD_to_CS_4level,irno,corrected_lmax24,0.0009695969122578,5.640481255648799,10.136059472699683,0.4468200202728701,0.1675703036411854,0.4811411956089892
ICOD_to_CS_4level,irno,corrected_lmax8,0.0008300809845370801,4.830041122387071,8.65609250164005,0.5574988049409445,0.27341464070981,0.5418647265322996
ICOD_to_CS_4level,tempest,tempest,0.0002327113887415153,1.0,1.0,1.0828208854508026,1.0315812856589237,0.9989136766180458
RLL_to_CS_3level,irno,base,0.00056497959123068,2.009587509702345,3.2067095907243925,0.520452711115156,0.2580997894558791,0.8148459232253444
RLL_to_CS_3level,irno,corrected_lmax16,0.0006210320379780599,2.226743205872482,3.60352756910277,0.44636272319736625,0.1660278338382512,0.7436731168038951
RLL_to_CS_3level,irno,corrected_lmax24,0.00065935097132246,2.37093847467938,3.8626289524083135,0.42023814162594986,0.1323475371230742,0.6768088186999802
RLL_to_CS_3level,irno,corrected_lmax8,0.00058893543405162,2.1036014660605034,3.379508001815161,0.4813211385367472,0.2104776629045983,0.7893628012424407
RLL_to_CS_3level,tempest,tempest,0.0003408675168532,1.0,1.0,1.0169119510898676,0.9888002826614708,0.999910283724188
