method,step,lmax,step_label,function,coarse_pair,fine_pair,h_col,h_coarse,h_fine,E_coarse,E_fine,observed_order
irno,0,0,base,smooth1,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.004751316648997393,0.0011781255561616108,2.0118340581651837
irno,0,0,base,smooth1,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.0011781255561616108,0.0006116129456297597,0.9458024506785939
irno,0,0,base,smooth1,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.0006116129456297597,0.0008629099021657204,-0.4965909894707069
irno,0,0,base,smooth2,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.0063370431967350906,0.0016917138039032073,1.90532432894573
irno,0,0,base,smooth2,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.0016917138039032073,0.0006727606292521146,1.330320335858519
irno,0,0,base,smooth2,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.0006727606292521146,0.0009332928838211999,-0.47223661552016344
irno,0,0,base,x,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.018448049568588542,0.004786300356912274,1.9464854555891635
irno,0,0,base,x,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.004786300356912274,0.0011032608098751795,2.1171370507503946
irno,0,0,base,x,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.0011032608098751795,0.0014021854456299269,-0.3459032821080491
irno,0,0,base,y,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.01861286091923573,0.004801544116774654,1.9547294858484656
irno,0,0,base,y,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.004801544116774654,0.0011185891740506727,2.1018181604165544
irno,0,0,base,y,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.0011185891740506727,0.001435801496357877,-0.3601760334658512
irno,0,0,base,z,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.01665359412974691,0.004520090144139744,1.8814101194023505
irno,0,0,base,z,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.004520090144139744,0.0010604133049420517,2.091724867749404
