pair,function,method,step,lmax,step_label,n_src,n_tgt,h_src,h_tgt,area_rel_l2,rel_l2,linf,source_integral,target_pred_integral,target_truth_integral,conservation_abs_error_vs_source,target_integral_abs_error_vs_truth,h_max,h_min
CS-r32_to_RLL-r90-180,smooth1,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.0019251380572921615,0.002655239553238884,0.014946159923791558,12.566370614359172,12.566370614359172,12.566370614359172,0.0,0.0,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth1,irno,0,0,base,6144,16200,0.04522507840989173,0.02785142527367778,0.0014399739794628828,0.0018511577748282916,0.008410950609019308,12.566370614359172,12.566370547695676,12.566370614359172,6.666349605666255e-08,6.666349605666255e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth1,irno,1,8,corrected_lmax8,6144,16200,0.04522507840989173,0.02785142527367778,0.0014824467344375426,0.0018926745800588363,0.008502302557095387,12.566370614359172,12.566370575655544,12.566370614359172,3.8703628746361574e-08,3.8703628746361574e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth1,irno,2,16,corrected_lmax16,6144,16200,0.04522507840989173,0.02785142527367778,0.0015334714959872758,0.001941340523689686,0.008678074616094822,12.566370614359172,12.56637058562071,12.566370614359172,2.8738462276578502e-08,2.8738462276578502e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth1,irno,3,24,corrected_lmax24,6144,16200,0.04522507840989173,0.02785142527367778,0.001584573937934715,0.0019904128621259236,0.008866993615281427,12.566370614359172,12.566370572876249,12.566370614359172,4.148292376271456e-08,4.148292376271456e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth2,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.002109368058414099,0.0028204972100022534,0.013962258932873839,13.231171822700507,13.231171822700507,13.231165459211667,0.0,6.3634888398667044e-06,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth2,irno,0,0,base,6144,16200,0.04522507840989173,0.02785142527367778,0.0019329691106360837,0.0024001626376304245,0.009095269612053425,13.231171822700507,13.23117175167324,13.231165459211667,7.102726584662378e-08,6.292461574020081e-06,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth2,irno,1,8,corrected_lmax8,6144,16200,0.04522507840989173,0.02785142527367778,0.0019728644263434197,0.002440054494480852,0.009101064919659008,13.231171822700507,13.2311717774536,13.231165459211667,4.5246906665852293e-08,6.318241933200852e-06,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth2,irno,2,16,corrected_lmax16,6144,16200,0.04522507840989173,0.02785142527367778,0.002023780953851363,0.0024888647658054116,0.009219358178341963,13.231171822700507,13.23117179439566,13.231165459211667,2.8304846466653544e-08,6.335183993400051e-06,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth2,irno,3,24,corrected_lmax24,6144,16200,0.04522507840989173,0.02785142527367778,0.0020763965082015935,0.0025391620448268503,0.009377655179584554,13.231171822700507,13.231171772630756,13.231165459211667,5.006975101196076e-08,6.313419088854744e-06,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,x,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.006777230165782993,0.010769138199588578,0.024229272878471455,-1.6653345369377348e-16,-5.030698080332741e-16,-1.6046192152785466e-16,3.365363543395006e-16,3.426078865054194e-16,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,x,irno,0,0,base,6144,16200,0.04522507840989173,0.02785142527367778,0.005775653385753206,0.008661849325801559,0.013040776487082448,-1.6653345369377348e-16,2.841645642751023e-09,-1.6046192152785466e-16,2.8416458092844765e-09,2.8416458032129444e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,x,irno,1,8,corrected_lmax8,6144,16200,0.04522507840989173,0.02785142527367778,0.005921115588552571,0.008822002374831675,0.013034533051372636,-1.6653345369377348e-16,3.5019893339371944e-09,-1.6046192152785466e-16,3.501989500470648e-09,3.501989494399116e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,x,irno,2,16,corrected_lmax16,6144,16200,0.04522507840989173,0.02785142527367778,0.006088876821536471,0.009006241331336862,0.013095325542796635,-1.6653345369377348e-16,1.8922333899426547e-09,-1.6046192152785466e-16,1.8922335564761084e-09,1.892233550404576e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,x,irno,3,24,corrected_lmax24,6144,16200,0.04522507840989173,0.02785142527367778,0.006255602712712886,0.009191043615837023,0.013188472697789621,-1.6653345369377348e-16,-1.4629725055524678e-08,-1.6046192152785466e-16,1.4629724888991225e-08,1.4629724895062757e-08,0.04522507840989173,0.02785142527367778
