method,step,lmax,step_label,function,coarse_pair,fine_pair,h_col,h_coarse,h_fine,E_coarse,E_fine,observed_order
irno,0,0,base,smooth1,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.0014399739794628828,0.0006808649730828856,1.0806021210468533
irno,0,0,base,smooth1,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0006808649730828856,0.0008427130336958363,-0.3076727225497465
irno,0,0,base,smooth2,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.0019329691106360837,0.0007423690977036422,1.38061002073175
irno,0,0,base,smooth2,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0007423690977036422,0.0009191031084789274,-0.3080900603686148
irno,0,0,base,x,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.005775653385753206,0.001204933892820403,2.261030167394349
irno,0,0,base,x,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.001204933892820403,0.001437681639806467,-0.2547902438016479
irno,0,0,base,y,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.005760304944587723,0.0011121506975317066,2.372792900545285
irno,0,0,base,y,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0011121506975317066,0.0014059847726661952,-0.33822868164770814
irno,0,0,base,z,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.004662392923674411,0.0011203905496629466,2.0570688732267355
irno,0,0,base,z,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0011203905496629466,0.0014014897571161856,-0.3229594807272401
irno,1,8,corrected_lmax8,smooth1,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.0014824467344375426,0.0006604598465725569,1.1664375095304433
irno,1,8,corrected_lmax8,smooth1,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0006604598465725569,0.0009122686817996004,-0.46598793638405517
irno,1,8,corrected_lmax8,smooth2,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.0019728644263434197,0.0007278005165402716,1.4386768384115398
irno,1,8,corrected_lmax8,smooth2,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0007278005165402716,0.000996127372659683,-0.45278715329238567
irno,1,8,corrected_lmax8,x,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.005921115588552571,0.0012833222770425928,2.2059855016889975
irno,1,8,corrected_lmax8,x,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0012833222770425928,0.0015341408014418305,-0.2575473817919646
irno,1,8,corrected_lmax8,y,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.005912457778526991,0.001204286988577933,2.2955787403846966
irno,1,8,corrected_lmax8,y,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.001204286988577933,0.001494054058849661,-0.3110531139457706
irno,1,8,corrected_lmax8,z,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.004836973947018893,0.001196622305759138,2.015136906080182
irno,1,8,corrected_lmax8,z,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.001196622305759138,0.0015139205873323568,-0.3393216697159625
irno,2,16,corrected_lmax16,smooth1,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.0015334714959872758,0.0006387578685081427,1.2634602871430143
irno,2,16,corrected_lmax16,smooth1,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0006387578685081427,0.0009878843169020713,-0.6290729514885771
irno,2,16,corrected_lmax16,smooth2,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.002023780953851363,0.0007129499998511615,1.5051803396311227
irno,2,16,corrected_lmax16,smooth2,CS-r64_to_RLL-r180-360,CS-r128_to_RLL-r360-720,h_max,0.022612539204945863,0.011306269602471148,0.0007129499998511615,0.0010806185382758642,-0.5999845299042884
irno,2,16,corrected_lmax16,x,CS-r32_to_RLL-r90-180,CS-r64_to_RLL-r180-360,h_max,0.04522507840989173,0.022612539204945863,0.006088876821536471,0.0013922771417894015,2.1287297098302607
