step,lmax,method,step_label,function,n_levels,fitted_order,r2,h_min,h_max,err_finest,err_coarsest
-1,-1,tempest,tempest,smooth1,3,1.0280891017729579,0.9999491493976278,0.0113062696024711,0.0452250784098917,0.0004629036058523,0.0019251380572921
-1,-1,tempest,tempest,smooth2,3,1.0085651141537835,0.9999962101190042,0.0113062696024711,0.0452250784098917,0.0005211175044289,0.002109368058414
-1,-1,tempest,tempest,x,3,1.0171532600767725,0.9999802311365482,0.0113062696024711,0.0452250784098917,0.0016544930695486,0.0067772301657829
-1,-1,tempest,tempest,y,3,1.0171532600767725,0.9999802311365482,0.0113062696024711,0.0452250784098917,0.0016544930695486,0.0067772301657829
-1,-1,tempest,tempest,z,3,1.0250017933315991,0.9999481183312038,0.0113062696024711,0.0452250784098917,0.0011875044647598,0.0049175391024916
0,0,irno,base,smooth1,3,0.38646469924843696,0.4818463425357309,0.0113062696024711,0.0452250784098917,0.0008427130336958,0.0014399739794628
0,0,irno,base,smooth2,3,0.5362599801814292,0.5475350443988471,0.0113062696024711,0.0452250784098917,0.0009191031084789,0.001932969110636
0,0,irno,base,x,3,1.00311996179619,0.6560947303992735,0.0113062696024711,0.0452250784098917,0.0014376816398064,0.0057756533857532
0,0,irno,base,y,3,1.0172821094486262,0.6282051430273332,0.0113062696024711,0.0452250784098917,0.0014059847726661,0.0057603049445877
0,0,irno,base,z,3,0.8670546962496067,0.6142885962213546,0.0113062696024711,0.0452250784098917,0.0014014897571161,0.0046623929236744
1,8,irno,corrected_lmax8,smooth1,3,0.35022478657305023,0.3558121755168059,0.0113062696024711,0.0452250784098917,0.0009122686817996,0.0014824467344375
1,8,irno,corrected_lmax8,smooth2,3,0.4929448425594856,0.44904956203330715,0.0113062696024711,0.0452250784098917,0.0009961273726596,0.0019728644263434
1,8,irno,corrected_lmax8,x,3,0.9742190599483318,0.6523705377887316,0.0113062696024711,0.0452250784098917,0.0015341408014418,0.0059211155885525
1,8,irno,corrected_lmax8,y,3,0.9922628132192813,0.6348902787944148,0.0113062696024711,0.0452250784098917,0.0014940540588496,0.0059124577785269
1,8,irno,corrected_lmax8,z,3,0.8379076181819418,0.6031458491685071,0.0113062696024711,0.0452250784098917,0.0015139205873323,0.0048369739470188
2,16,irno,corrected_lmax16,smooth1,3,0.3171936678270915,0.25210604321330654,0.0113062696024711,0.0452250784098917,0.000987884316902,0.0015334714959872
2,16,irno,corrected_lmax16,smooth2,3,0.4525979048632777,0.35677637244177574,0.0113062696024711,0.0452250784098917,0.0010806185382758,0.0020237809538513
2,16,irno,corrected_lmax16,x,3,0.9392176039873377,0.6516068168536954,0.0113062696024711,0.0452250784098917,0.0016560439019962,0.0060888768215364
2,16,irno,corrected_lmax16,y,3,0.9601107829653951,0.6438031541363671,0.0113062696024711,0.0452250784098917,0.0016074502069849,0.0060838965198964
2,16,irno,corrected_lmax16,z,3,0.8035467155360898,0.595822948504075,0.0113062696024711,0.0452250784098917,0.0016512744799363,0.0050304008987816
3,24,irno,corrected_lmax24,smooth1,3,0.2829075711153967,0.1747620723900245,0.0113062696024711,0.0452250784098917,0.0010704963203944,0.0015845739379347
3,24,irno,corrected_lmax24,smooth2,3,0.411474425778827,0.2789521938300533,0.0113062696024711,0.0452250784098917,0.0011737564739146,0.0020763965082015
3,24,irno,corrected_lmax24,x,3,0.8954190105078601,0.6506113358034984,0.0113062696024711,0.0452250784098917,0.0018078949747911,0.0062556027127128
3,24,irno,corrected_lmax24,y,3,0.9178084860275503,0.6509006005452662,0.0113062696024711,0.0452250784098917,0.0017514987424648,0.0062515196265793
3,24,irno,corrected_lmax24,z,3,0.760604733829082,0.5878934147271144,0.0113062696024711,0.0452250784098917,0.0018161698332102,0.0052129809416149
