method,step,lmax,step_label,function,coarse_pair,fine_pair,h_col,h_coarse,h_fine,E_coarse,E_fine,observed_order
irno,0,0,base,smooth1,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.0015693039100933357,0.0004010574081704131,1.9682441036204692
irno,0,0,base,smooth1,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0004010574081704131,0.0006354954671658293,-0.6640730731205906
irno,0,0,base,smooth1,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.0006354954671658293,0.0006291019889510402,0.014587911528403438
irno,0,0,base,smooth2,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.0016699212335226116,0.0004171686546037573,2.0010773903742476
irno,0,0,base,smooth2,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0004171686546037573,0.0006451595148366669,-0.6290251489861369
irno,0,0,base,smooth2,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.0006451595148366669,0.0006280167565492578,0.038852855906831074
irno,0,0,base,x,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.004964274156912673,0.0012962440886832695,1.937245382047709
irno,0,0,base,x,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0012962440886832695,0.0010150444136731896,0.3527945553818034
irno,0,0,base,x,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.0010150444136731896,0.0008393669067664688,0.2741693653336702
irno,0,0,base,y,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.0050379478519733106,0.0012934549582616557,1.9616063725479136
irno,0,0,base,y,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0012934549582616557,0.0010943700980393033,0.24112909972271598
irno,0,0,base,y,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.0010943700980393033,0.0009425605718937735,0.21544347790314677
irno,0,0,base,z,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.005161605958058728,0.0015131287306155545,1.7702852777247395
irno,0,0,base,z,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0015131287306155545,0.0010480170345477026,0.5298725644503974
irno,0,0,base,z,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.0010480170345477026,0.0008428281177717665,0.31435181660654055
irno,1,8,corrected_lmax8,smooth1,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.0015186673517759625,0.0003874030264488163,1.9708987675198542
irno,1,8,corrected_lmax8,smooth1,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0003874030264488163,0.0006624983876140345,-0.7740817188131752
