step,lmax,method,step_label,function,n_levels,fitted_order,r2,h_min,h_max,err_finest,err_coarsest
-1,-1,tempest,tempest,smooth1,4,1.1788081938581307,0.9966905518200371,0.0113062696024727,0.0904501568197834,7.8003388429233e-05,0.0009119713053463
-1,-1,tempest,tempest,smooth2,4,1.076173604128598,0.9992094723488849,0.0113062696024727,0.0904501568197834,9.940774181344356e-05,0.0009379645938807
-1,-1,tempest,tempest,x,4,1.0612354846491647,0.9996501135437557,0.0113062696024727,0.0904501568197834,0.0002945983148865,0.0026843385997908
-1,-1,tempest,tempest,y,4,1.0663058589591954,0.9992993097917248,0.0113062696024727,0.0904501568197834,0.0002943117537682,0.0027150824677552
-1,-1,tempest,tempest,z,4,1.0315812856589237,0.9997189355858269,0.0113062696024727,0.0904501568197834,0.0003972357448102,0.0034109589033164
0,0,irno,base,smooth1,4,0.3292203752964374,0.2650995169037089,0.0113062696024727,0.0904501568197834,0.000629101988951,0.0015693039100933
0,0,irno,base,smooth2,4,0.36036901428989204,0.3012088044981256,0.0113062696024727,0.0904501568197834,0.0006280167565492,0.0016699212335226
0,0,irno,base,x,4,0.8045422463671617,0.8008471156327489,0.0113062696024727,0.0904501568197834,0.0008393669067664,0.0049642741569126
0,0,irno,base,y,4,0.7495665950244235,0.756163227374725,0.0113062696024727,0.0904501568197834,0.0009425605718937,0.0050379478519733
0,0,irno,base,z,4,0.837340154079563,0.8575257842927957,0.0113062696024727,0.0904501568197834,0.0008428281177717,0.0051616059580587
1,8,irno,corrected_lmax8,smooth1,4,0.27341464070981,0.18861782734182242,0.0113062696024727,0.0904501568197834,0.0006752045456848,0.0015186673517759
1,8,irno,corrected_lmax8,smooth2,4,0.2998414060188434,0.21705091777499896,0.0113062696024727,0.0904501568197834,0.0006732516082141,0.0016047047002219
1,8,irno,corrected_lmax8,x,4,0.7412666896112388,0.7587582977389438,0.0113062696024727,0.0904501568197834,0.0008954518786727,0.0047477717886355
1,8,irno,corrected_lmax8,y,4,0.693494256316466,0.715357551662776,0.0113062696024727,0.0904501568197834,0.001002438414812,0.0048343649040928
1,8,irno,corrected_lmax8,z,4,0.7794770320483643,0.8295390381429566,0.0113062696024727,0.0904501568197834,0.0009040584753018,0.0050044692912786
2,16,irno,corrected_lmax16,smooth1,4,0.2189399569931828,0.12963680155363333,0.0113062696024727,0.0904501568197834,0.0007295062773995,0.0014676601655898
2,16,irno,corrected_lmax16,smooth2,4,0.24333235843676876,0.15694827399247813,0.0113062696024727,0.0904501568197834,0.0007255380971685,0.0015392364306966
2,16,irno,corrected_lmax16,x,4,0.6792066311315629,0.7324792243834315,0.0113062696024727,0.0904501568197834,0.0009642994707928,0.0045293876355677
2,16,irno,corrected_lmax16,y,4,0.6377334369659867,0.6894299791749197,0.0113062696024727,0.0904501568197834,0.0010764367002543,0.004630617343933
2,16,irno,corrected_lmax16,z,4,0.723920359494761,0.8164543491249214,0.0113062696024727,0.0904501568197834,0.0009789604254338,0.0048538201440618
3,24,irno,corrected_lmax24,smooth1,4,0.1675703036411854,0.08392016677005254,0.0113062696024727,0.0904501568197834,0.0007906469841908,0.0014189604980808
3,24,irno,corrected_lmax24,smooth2,4,0.19086102912461703,0.11008440813376874,0.0113062696024727,0.0904501568197834,0.0007838762915178,0.001477074035846
3,24,irno,corrected_lmax24,x,4,0.619499764998229,0.7198109521997034,0.0113062696024727,0.0904501568197834,0.0010447613184635,0.0043220946008428
3,24,irno,corrected_lmax24,y,4,0.5837657762115183,0.6758596048502108,0.0113062696024727,0.0904501568197834,0.0011631216061067,0.0044392464755379
3,24,irno,corrected_lmax24,z,4,0.6724032273888009,0.8160308460912109,0.0113062696024727,0.0904501568197834,0.0010655783610102,0.0047222196136761
