pair,function,method,step,lmax,step_label,n_src,n_tgt,h_src,h_tgt,area_rel_l2,rel_l2,linf,source_integral,target_pred_integral,target_truth_integral,conservation_abs_error_vs_source,target_integral_abs_error_vs_truth,h_max,h_min
RLL-r90-180_to_CS-r32,smooth1,tempest,-1,-1,tempest,16200,6144,0.02785142527367778,0.04522507840989173,0.0005323142161822385,0.0005235053959029952,0.0022877978824092926,12.566370614359172,12.566370614359172,12.566370614359172,0.0,0.0,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,smooth1,irno,0,0,base,16200,6144,0.02785142527367778,0.04522507840989173,0.0005890399065840441,0.0005745500866729155,0.005866212890033307,12.566370614359172,12.566370652073424,12.566370614359172,3.7714251277520816e-08,3.7714251277520816e-08,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,smooth1,irno,1,8,corrected_lmax8,16200,6144,0.02785142527367778,0.04522507840989173,0.0005820758177947449,0.0005679105128688298,0.005914749628252114,12.566370614359172,12.566370654354182,12.566370614359172,3.9995009970539286e-08,3.9995009970539286e-08,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,smooth1,irno,2,16,corrected_lmax16,16200,6144,0.02785142527367778,0.04522507840989173,0.0005814396562819381,0.0005676861835815238,0.005925327623771182,12.566370614359172,12.566370657961926,12.566370614359172,4.360275340786757e-08,4.360275340786757e-08,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,smooth1,irno,3,24,corrected_lmax24,16200,6144,0.02785142527367778,0.04522507840989173,0.0005892793904244102,0.0005759620301989031,0.005907080998563963,12.566370614359172,12.566370658818899,12.566370614359172,4.445972656696995e-08,4.445972656696995e-08,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,smooth2,tempest,-1,-1,tempest,16200,6144,0.02785142527367778,0.04522507840989173,0.0006217600354598308,0.0006255103302816257,0.002633838758288931,13.231165459211667,13.231165459211667,13.231171822700507,0.0,6.3634888398667044e-06,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,smooth2,irno,0,0,base,16200,6144,0.02785142527367778,0.04522507840989173,0.0005780762826910267,0.0005783931132109729,0.00338738148537443,13.231165459211667,13.231165498939898,13.231171822700507,3.972823137132764e-08,6.323760608495377e-06,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,smooth2,irno,1,8,corrected_lmax8,16200,6144,0.02785142527367778,0.04522507840989173,0.0005697470838011661,0.0005699482225281461,0.0034403802667370975,13.231165459211667,13.231165503180598,13.231171822700507,4.3968931606741535e-08,6.319519908259963e-06,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,smooth2,irno,2,16,corrected_lmax16,16200,6144,0.02785142527367778,0.04522507840989173,0.0005691735486811285,0.0005695384631608058,0.003458692959063092,13.231165459211667,13.231165505321142,13.231171822700507,4.6109475348998785e-08,6.317379364517706e-06,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,smooth2,irno,3,24,corrected_lmax24,16200,6144,0.02785142527367778,0.04522507840989173,0.0005790599518203725,0.0005798316311104254,0.0034507052655144976,13.231165459211667,13.2311655095615,13.231171822700507,5.034983274754268e-08,6.313139007119162e-06,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,x,tempest,-1,-1,tempest,16200,6144,0.02785142527367778,0.04522507840989173,0.0018555148865448668,0.001847451535890357,0.002977245589700906,-1.3704315460216776e-16,-5.551115123125783e-17,-6.106226635438361e-16,8.153200337090993e-17,5.551115123125783e-16,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,x,irno,0,0,base,16200,6144,0.02785142527367778,0.04522507840989173,0.0018113326757022371,0.001800387517407391,0.004681967213219951,-1.3704315460216776e-16,2.180483404945477e-09,-6.106226635438361e-16,2.1804835419886315e-09,2.1804840155681404e-09,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,x,irno,1,8,corrected_lmax8,16200,6144,0.02785142527367778,0.04522507840989173,0.001782168031792736,0.0017719776424809073,0.0045616234127450195,-1.3704315460216776e-16,-2.8703354693071503e-09,-6.106226635438361e-16,2.8703353322639957e-09,2.8703348586844868e-09,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,x,irno,2,16,corrected_lmax16,16200,6144,0.02785142527367778,0.04522507840989173,0.00178203934994368,0.0017730800256454537,0.004493384103015214,-1.3704315460216776e-16,4.689899302245948e-09,-6.106226635438361e-16,4.6898994392891025e-09,4.689899912868611e-09,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,x,irno,3,24,corrected_lmax24,16200,6144,0.02785142527367778,0.04522507840989173,0.0018171581187239464,0.0018096170148028008,0.004535395883400725,-1.3704315460216776e-16,3.886413912912445e-09,-6.106226635438361e-16,3.8864140499556e-09,3.886414523535109e-09,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,y,tempest,-1,-1,tempest,16200,6144,0.02785142527367778,0.04522507840989173,0.0018555148865448728,0.0018474515358903629,0.0029772455897007256,4.649058915617843e-16,6.661338147750939e-16,0.0,2.0122792321330962e-16,6.661338147750939e-16,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,y,irno,0,0,base,16200,6144,0.02785142527367778,0.04522507840989173,0.0017967167253935983,0.0017846386298949338,0.004713918214747481,4.649058915617843e-16,3.817305360698242e-09,0.0,3.8173048957923505e-09,3.817305360698242e-09,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,y,irno,1,8,corrected_lmax8,16200,6144,0.02785142527367778,0.04522507840989173,0.0017681182027972887,0.0017564661214634584,0.004626990201177017,4.649058915617843e-16,-4.498888817039415e-09,0.0,4.498889281945306e-09,4.498888817039415e-09,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,y,irno,2,16,corrected_lmax16,16200,6144,0.02785142527367778,0.04522507840989173,0.0017713189264302446,0.001760704219854385,0.004545657135833547,4.649058915617843e-16,-3.761238209776252e-09,0.0,3.7612386746821436e-09,3.761238209776252e-09,0.04522507840989173,0.02785142527367778
RLL-r90-180_to_CS-r32,y,irno,3,24,corrected_lmax24,16200,6144,0.02785142527367778,0.04522507840989173,0.0018107616821834817,0.0018014656284470964,0.004499367718877236,4.649058915617843e-16,1.9688848329479924e-09,0.0,1.968884368042101e-09,1.9688848329479924e-09,0.04522507840989173,0.02785142527367778
