method,step,lmax,step_label,function,coarse_pair,fine_pair,h_col,h_coarse,h_fine,E_coarse,E_fine,observed_order
irno,0,0,base,smooth1,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0005890399065840441,0.00039100646587805776,0.5911729129707917
irno,0,0,base,smooth1,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.00039100646587805776,0.0003993555786410159,-0.030481402132013103
irno,0,0,base,smooth2,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0005780762826910267,0.00041119621804141333,0.49143288721818984
irno,0,0,base,smooth2,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.00041119621804141333,0.00040419747345069154,0.024766691693378664
irno,0,0,base,x,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0018113326757022371,0.0008554683809045038,1.0822651039027174
irno,0,0,base,x,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0008554683809045038,0.0006800825751482008,0.33100460401553083
irno,0,0,base,y,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0017967167253935983,0.0008606567842725963,1.0618530336294945
irno,0,0,base,y,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0008606567842725963,0.0007059071616709762,0.2859595713288361
irno,0,0,base,z,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.001638287898490293,0.0006471432351205374,1.3400319351069472
irno,0,0,base,z,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0006471432351205374,0.0006353551672427818,0.026521773417930345
irno,1,8,corrected_lmax8,smooth1,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0005820758177947449,0.0004028646113432164,0.5309120013651049
irno,1,8,corrected_lmax8,smooth1,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0004028646113432164,0.0004208754598454449,-0.06309831129796577
irno,1,8,corrected_lmax8,smooth2,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0005697470838011661,0.0004244024829453388,0.4248885385135998
irno,1,8,corrected_lmax8,smooth2,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0004244024829453388,0.000425561108097932,-0.00393321270427813
irno,1,8,corrected_lmax8,x,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.001782168031792736,0.0008632246890763757,1.045825334811493
irno,1,8,corrected_lmax8,x,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0008632246890763757,0.0007051159317316714,0.2918756500008135
