step,lmax,method,step_label,function,n_levels,fitted_order,r2,h_min,h_max,err_finest,err_coarsest
-1,-1,tempest,tempest,smooth1,3,1.0478489669158724,0.9996659821218256,0.0113062696024711,0.0452250784098917,0.0001245374946943,0.0005323142161822
-1,-1,tempest,tempest,smooth2,3,0.9888002826614707,0.9999179740639361,0.0113062696024711,0.0452250784098917,0.0001578722192809,0.0006217600354598
-1,-1,tempest,tempest,x,3,1.00817594629555,0.9999951810785368,0.0113062696024711,0.0452250784098917,0.0004586506797544,0.0018555148865448
-1,-1,tempest,tempest,y,3,1.00817594629555,0.9999951810785368,0.0113062696024711,0.0452250784098917,0.0004586506797544,0.0018555148865448
-1,-1,tempest,tempest,z,3,1.0315586132808952,0.9999771002781049,0.0113062696024711,0.0452250784098917,0.000504626510782,0.002108774942306
0,0,irno,base,smooth1,3,0.28034575541931617,0.7093410110025864,0.0113062696024711,0.0452250784098917,0.000399355578641,0.000589039906584
0,0,irno,base,smooth2,3,0.2580997894558791,0.7858973809656666,0.0113062696024711,0.0452250784098917,0.0004041974734506,0.000578076282691
0,0,irno,base,x,3,0.706634853959053,0.9139171600660211,0.0113062696024711,0.0452250784098917,0.0006800825751482,0.0018113326757022
0,0,irno,base,y,3,0.6739063024791433,0.900523818258913,0.0113062696024711,0.0452250784098917,0.0007059071616709,0.0017967167253935
0,0,irno,base,z,3,0.6832768542623888,0.7645502458335346,0.0113062696024711,0.0452250784098917,0.0006353551672427,0.0016382878984902
1,8,irno,corrected_lmax8,smooth1,3,0.2339068450335467,0.6504366641185431,0.0113062696024711,0.0452250784098917,0.0004208754598454,0.0005820758177947
1,8,irno,corrected_lmax8,smooth2,3,0.21047766290459835,0.7429929514576642,0.0113062696024711,0.0452250784098917,0.0004255611080979,0.0005697470838011
1,8,irno,corrected_lmax8,x,3,0.6688504924061531,0.9042509739881073,0.0113062696024711,0.0452250784098917,0.0007051159317316,0.0017821680317927
1,8,irno,corrected_lmax8,y,3,0.6390740459589153,0.8910345958238037,0.0113062696024711,0.0452250784098917,0.0007290383606166,0.0017681182027972
1,8,irno,corrected_lmax8,z,3,0.6542966463805225,0.7580988208240859,0.0113062696024711,0.0452250784098917,0.0006640863099666,0.0016449411332416
2,16,irno,corrected_lmax16,smooth1,3,0.18681971344226606,0.5519615979847683,0.0113062696024711,0.0452250784098917,0.0004487742955179,0.0005814396562819
2,16,irno,corrected_lmax16,smooth2,3,0.16602783383825126,0.656563101869486,0.0113062696024711,0.0452250784098917,0.00045215359961,0.0005691735486811
2,16,irno,corrected_lmax16,x,3,0.6352726607260211,0.8907505442818809,0.0113062696024711,0.0452250784098917,0.0007386607744558,0.0017820393499436
2,16,irno,corrected_lmax16,y,3,0.6085046582513133,0.8758651842726838,0.0113062696024711,0.0452250784098917,0.0007619745283784,0.0017713189264302
2,16,irno,corrected_lmax16,z,3,0.6351887497289797,0.7432251556106569,0.0113062696024711,0.0452250784098917,0.0007035969919282,0.001697249569595
3,24,irno,corrected_lmax24,smooth1,3,0.14639427510892267,0.4189633257641904,0.0113062696024711,0.0452250784098917,0.0004810421326666,0.0005892793904244
3,24,irno,corrected_lmax24,smooth2,3,0.13234753712307426,0.5206485925751562,0.0113062696024711,0.0452250784098917,0.000481994822129,0.0005790599518203
3,24,irno,corrected_lmax24,x,3,0.6107415840452465,0.8706116042757247,0.0113062696024711,0.0452250784098917,0.0007792730301089,0.0018171581187239
3,24,irno,corrected_lmax24,y,3,0.5863826276051436,0.8526575595316265,0.0113062696024711,0.0452250784098917,0.0008032001410267,0.0018107616821834
3,24,irno,corrected_lmax24,z,3,0.6253246842473624,0.7211630113532033,0.0113062696024711,0.0452250784098917,0.0007512447306811,0.0017875755785806
