direction,method,step_label,function,area_rel_l2,tempest_finest_error,finest_error_ratio_vs_tempest,fitted_order,r2
CS_to_ICOD_4level,irno,base,smooth1,0.0008629099021657,0.0003058161937162,2.821661899848533,0.832893900879783,0.6870216598754446
CS_to_ICOD_4level,irno,base,smooth2,0.0009332928838211,0.0004125432889994,2.262290791554865,0.9620544483711088,0.7566263172142177
CS_to_ICOD_4level,irno,base,x,0.0014021854456299,0.0012100044341562,1.1588267001746304,1.3270294723444964,0.8413300793039521
CS_to_ICOD_4level,irno,base,y,0.0014358014963578,0.001210321317898,1.1862977831799228,1.3190932998814244,0.8381457935898641
CS_to_ICOD_4level,irno,base,z,0.0014104002080467,0.0011894461072794,1.1857621790639044,1.2776696081979153,0.8290964365096084
CS_to_ICOD_4level,irno,corrected_lmax16,smooth1,0.0010152708136482,0.0003058161937162,3.3198726375830176,0.7620718874626516,0.6014157145467196
CS_to_ICOD_4level,irno,corrected_lmax16,smooth2,0.001103098178474,0.0004125432889994,2.6738967955326607,0.8852974343410983,0.6825388019964548
CS_to_ICOD_4level,irno,corrected_lmax16,x,0.0016699376806041,0.0012100044341562,1.380108728087956,1.222411591754268,0.8286114457231585
CS_to_ICOD_4level,irno,corrected_lmax16,y,0.0016931574652302,0.001210321317898,1.3989322010544736,1.2161049130285302,0.829903269231589
CS_to_ICOD_4level,irno,corrected_lmax16,z,0.0016870826870827,0.0011894461072794,1.4183767358249932,1.169897322394035,0.8210192428840102
CS_to_ICOD_4level,irno,corrected_lmax24,smooth1,0.0010989813830809,0.0003058161937162,3.593601011530357,0.7278692396881445,0.561004677347787
CS_to_ICOD_4level,irno,corrected_lmax24,smooth2,0.0011971038259934,0.0004125432889994,2.9017653611501144,0.8484062158839928,0.6475218057386528
CS_to_ICOD_4level,irno,corrected_lmax24,x,0.0018392444881716,0.0012100044341562,1.5200311967899542,1.1650920481075726,0.8236663445070828
CS_to_ICOD_4level,irno,corrected_lmax24,y,0.00185791044588,0.001210321317898,1.5350555413720108,1.1589278525364393,0.8269069011200096
CS_to_ICOD_4level,irno,corrected_lmax24,z,0.0018587635932524,0.0011894461072794,1.5627135873384952,1.111595584196288,0.8183277737910832
CS_to_ICOD_4level,irno,corrected_lmax8,smooth1,0.0009367402899563,0.0003058161937162,3.0630826921664025,0.7964551448977611,0.6444290582480279
CS_to_ICOD_4level,irno,corrected_lmax8,smooth2,0.0010153235601443,0.0004125432889994,2.461132170170332,0.9226847225143614,0.719955618787604
CS_to_ICOD_4level,irno,corrected_lmax8,x,0.0015244009066829,0.0012100044341562,1.2598308433026078,1.2770855077208725,0.8343084774196642
CS_to_ICOD_4level,irno,corrected_lmax8,y,0.0015528683334706,0.001210321317898,1.2830215501512536,1.2701555717776627,0.8334139816825761
CS_to_ICOD_4level,irno,corrected_lmax8,z,0.0015375344045492,0.0011894461072794,1.2926473886790688,1.2258353764021184,0.8242085663056367
CS_to_ICOD_4level,tempest,tempest,smooth1,0.0003058161937162,0.0003058161937162,1.0,1.0148453895194869,0.9999890633837004
CS_to_ICOD_4level,tempest,tempest,smooth2,0.0004125432889994,0.0004125432889994,1.0,1.0130230209469613,0.999992365691898
CS_to_ICOD_4level,tempest,tempest,x,0.0012100044341562,0.0012100044341562,1.0,1.0122182210388455,0.9999948649508228
CS_to_ICOD_4level,tempest,tempest,y,0.001210321317898,0.001210321317898,1.0,1.0142726414129752,0.9999733970472544
CS_to_ICOD_4level,tempest,tempest,z,0.0011894461072794,0.0011894461072794,1.0,1.015669978093436,0.999937259167206
ICOD_to_CS_4level,irno,base,smooth1,0.000629101988951,7.8003388429233e-05,8.06505975726606,0.3292203752964374,0.2650995169037089
ICOD_to_CS_4level,irno,base,smooth2,0.0006280167565492,9.940774181344356e-05,6.317583973769226,0.360369014289892,0.3012088044981256
ICOD_to_CS_4level,irno,base,x,0.0008393669067664,0.0002945983148865,2.8491911336620617,0.8045422463671617,0.8008471156327489
ICOD_to_CS_4level,irno,base,y,0.0009425605718937,0.0002943117537682,3.2025923525842632,0.7495665950244235,0.756163227374725
ICOD_to_CS_4level,irno,base,z,0.0008428281177717,0.0003972357448102,2.1217328218395974,0.837340154079563,0.8575257842927957
ICOD_to_CS_4level,irno,corrected_lmax16,smooth1,0.0007295062773995,7.8003388429233e-05,9.352238307715695,0.2189399569931828,0.1296368015536333
ICOD_to_CS_4level,irno,corrected_lmax16,smooth2,0.0007255380971685,9.940774181344356e-05,7.298607572537984,0.2433323584367687,0.1569482739924781
ICOD_to_CS_4level,irno,corrected_lmax16,x,0.0009642994707928,0.0002945983148865,3.2732687936939358,0.6792066311315629,0.7324792243834315
ICOD_to_CS_4level,irno,corrected_lmax16,y,0.0010764367002543,0.0002943117537682,3.657470986028311,0.6377334369659867,0.6894299791749197
ICOD_to_CS_4level,irno,corrected_lmax16,z,0.0009789604254338,0.0003972357448102,2.464431859981657,0.723920359494761,0.8164543491249214
ICOD_to_CS_4level,irno,corrected_lmax24,smooth1,0.0007906469841908,7.8003388429233e-05,10.136059472699683,0.1675703036411854,0.0839201667700525
