method,step,lmax,step_label,function,coarse_pair,fine_pair,h_col,h_coarse,h_fine,E_coarse,E_fine,observed_order
irno,0,0,base,smooth1,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.0027525280928683143,0.001328345175861661,1.0511272027695455
irno,0,0,base,smooth1,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.001328345175861661,0.0001782732350876227,2.8974680590933293
irno,0,0,base,smooth1,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.0001782732350876227,0.00025538168497174046,-0.5185649426755259
irno,0,0,base,smooth2,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.0035969880774146205,0.0017848530932774952,1.0109840429425505
irno,0,0,base,smooth2,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.0017848530932774952,0.00021418178213570516,3.058897656848072
irno,0,0,base,smooth2,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.00021418178213570516,0.0002570897257011585,-0.2634361830376846
irno,0,0,base,x,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.01078231322701163,0.005198068139839327,1.0526192748080894
irno,0,0,base,x,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.005198068139839327,0.0006062150742542386,3.1000739137712374
irno,0,0,base,x,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.0006062150742542386,0.0005203680333941499,0.22029738796622533
irno,0,0,base,y,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.01103673610675198,0.005210919507086801,1.082703712291402
irno,0,0,base,y,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.005210919507086801,0.0005925282202538823,3.1365821978925834
irno,0,0,base,y,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.0005925282202538823,0.0005253903398786088,0.17349419215503856
irno,0,0,base,z,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.008737878884134851,0.0046787076476639145,0.9011730250031021
irno,0,0,base,z,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.0046787076476639145,0.0007699263828456032,2.603317670678012
irno,0,0,base,z,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.0007699263828456032,0.0005775061603517395,0.4148841718377715
irno,1,8,corrected_lmax8,smooth1,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.0027444219288351125,0.0012705022155701047,1.1111034079952988
irno,1,8,corrected_lmax8,smooth1,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.0012705022155701047,0.00017913478361094082,2.8262814853744453
irno,1,8,corrected_lmax8,smooth1,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.00017913478361094082,0.00023731673972996863,-0.4057683674696587
irno,1,8,corrected_lmax8,smooth2,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.0035782347217462127,0.0017085858861696046,1.0664452569564977
irno,1,8,corrected_lmax8,smooth2,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.0017085858861696046,0.00021080476597252804,3.0188233805389046
irno,1,8,corrected_lmax8,smooth2,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.00021080476597252804,0.0002512109960649516,-0.2529921311210842
irno,1,8,corrected_lmax8,x,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.0107405387424336,0.00496932347637179,1.1119449985340333
irno,1,8,corrected_lmax8,x,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.00496932347637179,0.0006198419224119431,3.003077218045879
irno,1,8,corrected_lmax8,x,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.0006198419224119431,0.000556992263807477,0.15424304373058903
irno,1,8,corrected_lmax8,y,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.010936846369561945,0.004980699533692008,1.13477651165049
irno,1,8,corrected_lmax8,y,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.004980699533692008,0.000591575336691839,3.073714569883811
irno,1,8,corrected_lmax8,y,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.000591575336691839,0.0005644048350775848,0.0678315593362573
irno,1,8,corrected_lmax8,z,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.008736250913894447,0.004600459853502291,0.9252362149830028
irno,1,8,corrected_lmax8,z,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.004600459853502291,0.0007936598144525953,2.5351854133625347
irno,1,8,corrected_lmax8,z,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.0007936598144525953,0.0006171688023673892,0.3628556229414485
irno,2,16,corrected_lmax16,smooth1,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.0027657360710065548,0.0012473023501911684,1.148852267799344
irno,2,16,corrected_lmax16,smooth1,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.0012473023501911684,0.00019407000375373662,2.6841621699789187
irno,2,16,corrected_lmax16,smooth1,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.00019407000375373662,0.000226370083558543,-0.22210616170747913
irno,2,16,corrected_lmax16,smooth2,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.0035929446805879743,0.0016778057220750758,1.098591051137865
irno,2,16,corrected_lmax16,smooth2,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.0016778057220750758,0.00021977223065338463,2.932494660652015
irno,2,16,corrected_lmax16,smooth2,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.00021977223065338463,0.00025368116432137336,-0.20700729821465588
irno,2,16,corrected_lmax16,x,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.010804318403650762,0.004873329963811778,1.14862824880037
irno,2,16,corrected_lmax16,x,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.004873329963811778,0.0006652807260859365,2.872872764970925
irno,2,16,corrected_lmax16,x,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.0006652807260859365,0.0006104220531419368,0.12415615350318943
irno,2,16,corrected_lmax16,y,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.010951142779908303,0.00488094900912978,1.1658478414119655
irno,2,16,corrected_lmax16,y,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.00488094900912978,0.0006083282845200853,3.004239690403527
irno,2,16,corrected_lmax16,y,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.0006083282845200853,0.0006201071801227849,-0.027667509740030488
irno,2,16,corrected_lmax16,z,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.008816341454104046,0.0046189683279040245,0.932609446397758
irno,2,16,corrected_lmax16,z,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.0046189683279040245,0.0008098762151214989,2.511797331316955
irno,2,16,corrected_lmax16,z,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.0008098762151214989,0.0006743609833251423,0.26418034896358866
irno,3,24,corrected_lmax24,smooth1,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.002806674570728237,0.0012574576497779047,1.1583519834732472
irno,3,24,corrected_lmax24,smooth1,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.0012574576497779047,0.00022307316331272726,2.4949209454261756
irno,3,24,corrected_lmax24,smooth1,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.00022307316331272726,0.00022694751556200077,-0.024841733469895877
irno,3,24,corrected_lmax24,smooth2,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.0036292057269770354,0.001689596308348371,1.1029752528472474
irno,3,24,corrected_lmax24,smooth2,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.001689596308348371,0.0002441426734990078,2.7908821978598373
irno,3,24,corrected_lmax24,smooth2,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.0002441426734990078,0.0002653353554813483,-0.12009244036624588
irno,3,24,corrected_lmax24,x,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.010942800427952065,0.004913083398110033,1.1552813591154896
irno,3,24,corrected_lmax24,x,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.004913083398110033,0.000752619912969055,2.7066353624712884
irno,3,24,corrected_lmax24,x,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.000752619912969055,0.0006701897456372417,0.16735184853871696
irno,3,24,corrected_lmax24,y,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.011044349730045444,0.004913157815688292,1.1685859923034565
irno,3,24,corrected_lmax24,y,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.004913157815688292,0.0006506937106186627,2.91660006636559
irno,3,24,corrected_lmax24,y,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.0006506937106186627,0.0006807310897802511,-0.06510639159052545
irno,3,24,corrected_lmax24,z,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.008951633690186568,0.004721675792985798,0.9228520165900176
irno,3,24,corrected_lmax24,z,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.004721675792985798,0.0008163894310581106,2.53196957386936
irno,3,24,corrected_lmax24,z,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.0008163894310581106,0.0007417932609861539,0.1382403440625252
tempest,-1,-1,tempest,smooth1,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.002519545884320345,0.0012454776192519035,1.0164646328213336
tempest,-1,-1,tempest,smooth1,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.0012454776192519035,0.0006136663015661181,1.0211728295072446
tempest,-1,-1,tempest,smooth1,CS-r64_to_ICOD-r64,CS-r128_to_ICOD-r128,h_max,0.02261253920494578,0.011306269602472774,0.0006136663015661181,0.00030581619371620485,1.0047895595672938
tempest,-1,-1,tempest,smooth2,CS-r16_to_ICOD-r16,CS-r32_to_ICOD-r32,h_max,0.09045015681978345,0.04522507840989173,0.0033907349981703657,0.0016730681736574302,1.019101802331828
tempest,-1,-1,tempest,smooth2,CS-r32_to_ICOD-r32,CS-r64_to_ICOD-r64,h_max,0.04522507840989173,0.02261253920494578,0.0016730681736574302,0.0008288643268817111,1.0132883552407186
