step,lmax,method,step_label,function,n_levels,fitted_order,r2,h_min,h_max,err_finest,err_coarsest
-1,-1,tempest,tempest,smooth1,4,1.0148453895194867,0.9999890633837005,0.0113062696024727,0.0904501568197834,0.0003058161937162,0.0025195458843203
-1,-1,tempest,tempest,smooth2,4,1.0130230209469613,0.999992365691898,0.0113062696024727,0.0904501568197834,0.0004125432889994,0.0033907349981703
-1,-1,tempest,tempest,x,4,1.0122182210388455,0.9999948649508228,0.0113062696024727,0.0904501568197834,0.0012100044341562,0.0099282972477474
-1,-1,tempest,tempest,y,4,1.0142726414129752,0.9999733970472545,0.0113062696024727,0.0904501568197834,0.001210321317898,0.0099792626307397
-1,-1,tempest,tempest,z,4,1.015669978093436,0.999937259167206,0.0113062696024727,0.0904501568197834,0.0011894461072794,0.0098478611833271
0,0,irno,base,smooth1,4,1.3187559016656052,0.8129604274246597,0.0113062696024727,0.0904501568197834,0.0002553816849717,0.0027525280928683
0,0,irno,base,smooth2,4,1.447823420710772,0.8501080439442862,0.0113062696024727,0.0904501568197834,0.0002570897257011,0.0035969880774146
0,0,irno,base,x,4,1.6219045643408299,0.9046027663470202,0.0113062696024727,0.0904501568197834,0.0005203680333941,0.0107823132270116
0,0,irno,base,y,4,1.631492250490981,0.9008282570350069,0.0113062696024727,0.0904501568197834,0.0005253903398786,0.0110367361067519
0,0,irno,base,z,4,1.4361442273234877,0.9266793276264113,0.0113062696024727,0.0904501568197834,0.0005775061603517,0.0087378788841348
1,8,irno,corrected_lmax8,smooth1,4,1.3421131063076157,0.8335098964720842,0.0113062696024727,0.0904501568197834,0.0002373167397299,0.0027444219288351
1,8,irno,corrected_lmax8,smooth2,4,1.4515652899662828,0.8540874133018831,0.0113062696024727,0.0904501568197834,0.0002512109960649,0.0035782347217462
1,8,irno,corrected_lmax8,x,4,1.5810872998977965,0.9023478765849757,0.0113062696024727,0.0904501568197834,0.0005569922638074,0.0107405387424336
1,8,irno,corrected_lmax8,y,4,1.5902682492496123,0.8935016925116321,0.0113062696024727,0.0904501568197834,0.0005644048350775,0.0109368463695619
1,8,irno,corrected_lmax8,z,4,1.4005017167224176,0.9250710685570408,0.0113062696024727,0.0904501568197834,0.0006171688023673,0.0087362509138944
2,16,irno,corrected_lmax16,smooth1,4,1.3516886998192106,0.8625074450507975,0.0113062696024727,0.0904501568197834,0.0002263700835585,0.0027657360710065
2,16,irno,corrected_lmax16,smooth2,4,1.4404729901379243,0.8618602131370932,0.0113062696024727,0.0904501568197834,0.0002536811643213,0.0035929446805879
2,16,irno,corrected_lmax16,x,4,1.530984426679459,0.9027327400378353,0.0113062696024727,0.0904501568197834,0.0006104220531419,0.0108043184036507
2,16,irno,corrected_lmax16,y,4,1.543149975663059,0.8853336121393005,0.0113062696024727,0.0904501568197834,0.0006201071801227,0.0109511427799083
2,16,irno,corrected_lmax16,z,4,1.3637558711352213,0.9167982659331444,0.0113062696024727,0.0904501568197834,0.0006743609833251,0.008816341454104
3,24,irno,corrected_lmax24,smooth1,4,1.3380214531714805,0.8911353755669584,0.0113062696024727,0.0904501568197834,0.000226947515562,0.0028066745707282
3,24,irno,corrected_lmax24,smooth2,4,1.4112177228882987,0.8743136294020423,0.0113062696024727,0.0904501568197834,0.0002653353554813,0.003629205726977
3,24,irno,corrected_lmax24,x,4,1.4794441072848035,0.9101274712527866,0.0113062696024727,0.0904501568197834,0.0006701897456372,0.010942800427952
3,24,irno,corrected_lmax24,y,4,1.4976839067601482,0.8821002855688903,0.0113062696024727,0.0904501568197834,0.0006807310897802,0.0110443497300454
3,24,irno,corrected_lmax24,z,4,1.331115537743527,0.9026894802679422,0.0113062696024727,0.0904501568197834,0.0007417932609861,0.0089516336901865
