pair,function,method,step,lmax,step_label,n_src,n_tgt,h_src,h_tgt,area_rel_l2,rel_l2,linf,source_integral,target_pred_integral,target_truth_integral,conservation_abs_error_vs_source,target_integral_abs_error_vs_truth,h_max,h_min
CS-r32_to_RLL-r90-180,smooth1,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.0019251380572921615,0.002655239553238884,0.014946159923791558,12.566370614359172,12.566370614359172,12.566370614359172,0.0,0.0,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth1,irno,0,0,base,6144,16200,0.04522507840989173,0.02785142527367778,0.001582756905013584,0.002069197128714246,0.009131328374947456,12.566370614359172,12.566370578630337,12.566370614359172,3.572883500169155e-08,3.572883500169155e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth1,irno,1,8,corrected_lmax8,6144,16200,0.04522507840989173,0.02785142527367778,0.0015734406298949816,0.0020391959759353435,0.008961551421531544,12.566370614359172,12.566370577897043,12.566370614359172,3.646212931585069e-08,3.646212931585069e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth1,irno,2,16,corrected_lmax16,6144,16200,0.04522507840989173,0.02785142527367778,0.0015945525150299377,0.0020478396456677437,0.009087558420626252,12.566370614359172,12.566370572716759,12.566370614359172,4.1642413961540115e-08,4.1642413961540115e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth1,irno,3,24,corrected_lmax24,6144,16200,0.04522507840989173,0.02785142527367778,0.0016368130237069364,0.002084528340572321,0.009332885880827257,12.566370614359172,12.56637056508265,12.566370614359172,4.927652241804026e-08,4.927652241804026e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth2,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.002109368058414099,0.0028204972100022534,0.013962258932873839,13.231171822700507,13.231171822700507,13.231165459211667,0.0,6.3634888398667044e-06,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth2,irno,0,0,base,6144,16200,0.04522507840989173,0.02785142527367778,0.001991235287991986,0.002553113067672341,0.009626126471540708,13.231171822700507,13.231171787182335,13.231165459211667,3.5518171515036556e-08,6.327970668351668e-06,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth2,irno,1,8,corrected_lmax8,6144,16200,0.04522507840989173,0.02785142527367778,0.0019605655553640257,0.0025007880457964798,0.009526306328635048,13.231171822700507,13.231171787848197,13.231165459211667,3.485230948285789e-08,6.3286365303838465e-06,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth2,irno,2,16,corrected_lmax16,6144,16200,0.04522507840989173,0.02785142527367778,0.001965988564403491,0.0024931451897622103,0.00949244643655689,13.231171822700507,13.231171777938703,13.231165459211667,4.476180315293732e-08,6.318727036713767e-06,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,smooth2,irno,3,24,corrected_lmax24,6144,16200,0.04522507840989173,0.02785142527367778,0.001999954778742503,0.002519808289708695,0.009481088244761127,13.231171822700507,13.23117176739637,13.231165459211667,5.530413638155096e-08,6.3081847034851535e-06,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,x,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.006777230165782993,0.010769138199588578,0.024229272878471455,-1.6653345369377348e-16,-5.030698080332741e-16,-1.6046192152785466e-16,3.365363543395006e-16,3.426078865054194e-16,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,x,irno,0,0,base,6144,16200,0.04522507840989173,0.02785142527367778,0.006140498545265425,0.009442762587238113,0.014273173582703032,-1.6653345369377348e-16,3.473767159339891e-09,-1.6046192152785466e-16,3.473767325873345e-09,3.4737673198018126e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,x,irno,1,8,corrected_lmax8,6144,16200,0.04522507840989173,0.02785142527367778,0.006048249644094273,0.009234114029253214,0.013472604561670577,-1.6653345369377348e-16,6.868618492548995e-09,-1.6046192152785466e-16,6.868618659082448e-09,6.868618653010916e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,x,irno,2,16,corrected_lmax16,6144,16200,0.04522507840989173,0.02785142527367778,0.006071958262994247,0.009194073604254824,0.01347543180447628,-1.6653345369377348e-16,-6.2366095985449954e-09,-1.6046192152785466e-16,6.236609432011542e-09,6.236609438083074e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,x,irno,3,24,corrected_lmax24,6144,16200,0.04522507840989173,0.02785142527367778,0.006183939527279882,0.009277373633703356,0.013892866279406484,-1.6653345369377348e-16,-5.162971468755662e-09,-1.6046192152785466e-16,5.162971302222208e-09,5.16297130829374e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,y,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.006777230165782994,0.01076913819958858,0.024229272878471472,0.0,-1.3877787807814457e-17,5.273559366969494e-16,1.3877787807814457e-17,5.412337245047638e-16,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,y,irno,0,0,base,6144,16200,0.04522507840989173,0.02785142527367778,0.006118585919400969,0.009387358804089705,0.014255497365664095,0.0,-2.172983203097001e-09,5.273559366969494e-16,2.172983203097001e-09,2.1729837304529376e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,y,irno,1,8,corrected_lmax8,6144,16200,0.04522507840989173,0.02785142527367778,0.006021365151725126,0.009181673477077445,0.013421087352378562,0.0,-9.78561158493374e-09,5.273559366969494e-16,9.78561158493374e-09,9.785612112289677e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,y,irno,2,16,corrected_lmax16,6144,16200,0.04522507840989173,0.02785142527367778,0.006037756022584205,0.009141181759001513,0.013330583806316467,0.0,5.498993489727599e-09,5.273559366969494e-16,5.498993489727599e-09,5.498992962371663e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,y,irno,3,24,corrected_lmax24,6144,16200,0.04522507840989173,0.02785142527367778,0.006154190340833054,0.009247201159354587,0.013761646124905366,0.0,1.6236930341917422e-09,5.273559366969494e-16,1.6236930341917422e-09,1.6236925068358055e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,z,tempest,-1,-1,tempest,6144,16200,0.04522507840989173,0.02785142527367778,0.004917539102491655,0.0035915061267570774,0.008411502077610322,2.220446049250313e-16,0.0,-8.881784197001252e-16,2.220446049250313e-16,8.881784197001252e-16,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,z,irno,0,0,base,6144,16200,0.04522507840989173,0.02785142527367778,0.0047975710266492146,0.003647021856676189,0.006809607461754075,2.220446049250313e-16,-1.0535505801101408e-09,-8.881784197001252e-16,1.0535508021547457e-09,1.053549691931721e-09,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,z,irno,1,8,corrected_lmax8,6144,16200,0.04522507840989173,0.02785142527367778,0.004769524080066205,0.0035991511792559136,0.006872481034423561,2.220446049250313e-16,-2.6369705530271403e-08,-8.881784197001252e-16,2.6369705752316008e-08,2.6369704642092984e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,z,irno,2,16,corrected_lmax16,6144,16200,0.04522507840989173,0.02785142527367778,0.004828731186402737,0.0036175680193576494,0.0069449557824272645,2.220446049250313e-16,-1.7464443669013008e-08,-8.881784197001252e-16,1.7464443891057613e-08,1.7464442780834588e-08,0.04522507840989173,0.02785142527367778
CS-r32_to_RLL-r90-180,z,irno,3,24,corrected_lmax24,6144,16200,0.04522507840989173,0.02785142527367778,0.004956201168140609,0.0036908365539316534,0.007007409214719762,2.220446049250313e-16,3.7775769179404506e-09,-8.881784197001252e-16,3.777576695895846e-09,3.77757780611887e-09,0.04522507840989173,0.02785142527367778
CS-r64_to_RLL-r180-360,smooth1,tempest,-1,-1,tempest,24576,64800,0.022612539204945863,0.01392571263683889,0.000935736584410268,0.0012768482873158477,0.007844244372260611,12.566370614359172,12.566370614359172,12.56637061435917,0.0,1.7763568394002505e-15,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,smooth1,irno,0,0,base,24576,64800,0.022612539204945863,0.01392571263683889,0.0002195714638742763,0.00026385123750628206,0.0017855732085403364,12.566370614359172,12.566370684017016,12.56637061435917,6.96578439374207e-08,6.965784571377753e-08,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,smooth1,irno,1,8,corrected_lmax8,24576,64800,0.022612539204945863,0.01392571263683889,0.00022235197451082588,0.0002590325500519108,0.0017126866379197914,12.566370614359172,12.566370689702758,12.56637061435917,7.534358559269094e-08,7.534358736904778e-08,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,smooth1,irno,2,16,corrected_lmax16,24576,64800,0.022612539204945863,0.01392571263683889,0.00023610406026675098,0.0002631580391489099,0.0016366537197798348,12.566370614359172,12.566370674905222,12.56637061435917,6.054604995142654e-08,6.054605172778338e-08,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,smooth1,irno,3,24,corrected_lmax24,24576,64800,0.022612539204945863,0.01392571263683889,0.0002601357245917859,0.00027932627821733826,0.0015819224319724157,12.566370614359172,12.566370689002015,12.56637061435917,7.464284301761381e-08,7.464284479397065e-08,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,smooth2,tempest,-1,-1,tempest,24576,64800,0.022612539204945863,0.01392571263683889,0.001045972526331591,0.0013636840300243385,0.007002252274340037,13.231171988743508,13.23117198874351,13.231170400483911,1.7763568394002505e-15,1.5882595985061698e-06,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,smooth2,irno,0,0,base,24576,64800,0.022612539204945863,0.01392571263683889,0.0002750320845354677,0.0003149556729713834,0.0016243217602418536,13.231171988743508,13.231172060610412,13.231170400483911,7.186690353933045e-08,1.6601265002691434e-06,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,smooth2,irno,1,8,corrected_lmax8,24576,64800,0.022612539204945863,0.01392571263683889,0.00027062718449955784,0.0003016254369913694,0.0016518806389045348,13.231171988743508,13.231172067977102,13.231170400483911,7.923359390815676e-08,1.6674931906379697e-06,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,smooth2,irno,2,16,corrected_lmax16,24576,64800,0.022612539204945863,0.01392571263683889,0.00027570456855211174,0.0002966383551546965,0.0016629992513799152,13.231171988743508,13.231172055494408,13.231170400483911,6.67508999185884e-08,1.6550104966484014e-06,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,smooth2,irno,3,24,corrected_lmax24,24576,64800,0.022612539204945863,0.01392571263683889,0.00029199317734103535,0.00030470978453280283,0.001690559014496218,13.231171988743508,13.231172068217067,13.231170400483911,7.947355840087766e-08,1.6677331551306906e-06,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,x,tempest,-1,-1,tempest,24576,64800,0.022612539204945863,0.01392571263683889,0.0033304318376187673,0.005167223018896784,0.012194462534979222,-2.220446049250313e-16,-5.538104697055957e-16,-1.9526481126463935e-16,3.3176586478056436e-16,3.585456584409563e-16,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,x,irno,0,0,base,24576,64800,0.022612539204945863,0.01392571263683889,0.0007789369322040535,0.0010817019433586742,0.0024608404787271184,-2.220446049250313e-16,-4.645954899008126e-09,-1.9526481126463935e-16,4.645954676963521e-09,4.645954703743314e-09,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,x,irno,1,8,corrected_lmax8,24576,64800,0.022612539204945863,0.01392571263683889,0.0007877302226046046,0.0010509043578472274,0.0024520949390965463,-2.220446049250313e-16,-9.72439815976299e-09,-1.9526481126463935e-16,9.724397937718385e-09,9.724397964498178e-09,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,x,irno,2,16,corrected_lmax16,24576,64800,0.022612539204945863,0.01392571263683889,0.0008204115228583654,0.001044657817352544,0.0024338950044495286,-2.220446049250313e-16,-2.4511122224783743e-09,-1.9526481126463935e-16,2.4511120004337694e-09,2.451112027213563e-09,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,x,irno,3,24,corrected_lmax24,24576,64800,0.022612539204945863,0.01392571263683889,0.0008791047723145139,0.001072878557704025,0.002402001778900888,-2.220446049250313e-16,3.443419073967044e-09,-1.9526481126463935e-16,3.443419296011649e-09,3.443419269231855e-09,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,y,tempest,-1,-1,tempest,24576,64800,0.022612539204945863,0.01392571263683889,0.0033304318376187743,0.005167223018896789,0.012194462534979179,0.0,-4.163336342344337e-17,5.447031714567174e-16,4.163336342344337e-17,5.863365348801608e-16,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,y,irno,0,0,base,24576,64800,0.022612539204945863,0.01392571263683889,0.0007694185392436869,0.0010728064791254866,0.002527834695220329,0.0,-2.6568833617554577e-09,5.447031714567174e-16,2.6568833617554577e-09,2.656883906458629e-09,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,y,irno,1,8,corrected_lmax8,24576,64800,0.022612539204945863,0.01392571263683889,0.000757505215149764,0.0010197699059811005,0.002425109114617102,0.0,2.7218470125336958e-09,5.447031714567174e-16,2.7218470125336958e-09,2.7218464678305243e-09,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,y,irno,2,16,corrected_lmax16,24576,64800,0.022612539204945863,0.01392571263683889,0.0007610351414508026,0.0009827873544499097,0.0023759357323185834,0.0,-1.3389154975701478e-09,5.447031714567174e-16,1.3389154975701478e-09,1.3389160422733193e-09,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,y,irno,3,24,corrected_lmax24,24576,64800,0.022612539204945863,0.01392571263683889,0.000785461724131897,0.0009754278388501728,0.002338555743946132,0.0,-2.229376881886236e-09,5.447031714567174e-16,2.229376881886236e-09,2.2293774265894073e-09,0.022612539204945863,0.01392571263683889
CS-r64_to_RLL-r180-360,z,tempest,-1,-1,tempest,24576,64800,0.022612539204945863,0.01392571263683889,0.0023952009615760806,0.0017503779678283587,0.0035440794584157224,-3.3306690738754696e-16,4.440892098500626e-16,0.0,7.771561172376096e-16,4.440892098500626e-16,0.022612539204945863,0.01392571263683889
