step,lmax,method,step_label,function,n_levels,fitted_order,r2,h_min,h_max,err_finest,err_coarsest
-1,-1,tempest,tempest,smooth1,3,1.0280891017729579,0.9999491493976278,0.0113062696024711,0.0452250784098917,0.0004629036058523,0.0019251380572921
-1,-1,tempest,tempest,smooth2,3,1.0085651141537835,0.9999962101190042,0.0113062696024711,0.0452250784098917,0.0005211175044289,0.002109368058414
-1,-1,tempest,tempest,x,3,1.0171532600767725,0.9999802311365482,0.0113062696024711,0.0452250784098917,0.0016544930695486,0.0067772301657829
-1,-1,tempest,tempest,y,3,1.0171532600767725,0.9999802311365482,0.0113062696024711,0.0452250784098917,0.0016544930695486,0.0067772301657829
-1,-1,tempest,tempest,z,3,1.0250017933315991,0.9999481183312038,0.0113062696024711,0.0452250784098917,0.0011875044647598,0.0049175391024916
0,0,irno,base,smooth1,3,1.2699201614975868,0.659704626457496,0.0113062696024711,0.0452250784098917,0.0002721736612722,0.0015827569050135
0,0,irno,base,smooth2,3,1.3547279415699032,0.7095498621537457,0.0113062696024711,0.0452250784098917,0.0003044353552612,0.0019912352879919
0,0,irno,base,x,3,1.5057201565933893,0.7581337486580056,0.0113062696024711,0.0452250784098917,0.0007614997557845,0.0061404985452654
0,0,irno,base,y,3,1.507396561621068,0.7558297349310882,0.0113062696024711,0.0452250784098917,0.0007570209563984,0.0061185859194009
0,0,irno,base,z,3,1.3807269324426943,0.7253029117847316,0.0113062696024711,0.0452250784098917,0.000707523660959,0.0047975710266492
1,8,irno,corrected_lmax8,smooth1,3,1.2562990510818413,0.6585864245024993,0.0113062696024711,0.0452250784098917,0.0002757293294585,0.0015734406298949
1,8,irno,corrected_lmax8,smooth2,3,1.2853320131355004,0.6674135222416879,0.0113062696024711,0.0452250784098917,0.0003300155376964,0.001960565555364
1,8,irno,corrected_lmax8,x,3,1.3820092728807638,0.7022301067828627,0.0113062696024711,0.0452250784098917,0.0008903837344708,0.0060482496440942
1,8,irno,corrected_lmax8,y,3,1.380901556770581,0.6882154158933591,0.0113062696024711,0.0452250784098917,0.0008877882351043,0.0060213651517251
1,8,irno,corrected_lmax8,z,3,1.3041301205399647,0.6815653187860167,0.0113062696024711,0.0452250784098917,0.000782186789333,0.0047695240800662
2,16,irno,corrected_lmax16,smooth1,3,1.2267811635275814,0.6588861892803073,0.0113062696024711,0.0452250784098917,0.0002911005126094,0.0015945525150299
2,16,irno,corrected_lmax16,smooth2,3,1.2111299744980641,0.6255689073150157,0.0113062696024711,0.0452250784098917,0.0003667820600291,0.0019659885644034
2,16,irno,corrected_lmax16,x,3,1.2692513398486933,0.648505959720426,0.0113062696024711,0.0452250784098917,0.0010451131855785,0.0060719582629942
2,16,irno,corrected_lmax16,y,3,1.2677968482851485,0.6197093940364666,0.0113062696024711,0.0452250784098917,0.0010413238138654,0.0060377560225842
2,16,irno,corrected_lmax16,z,3,1.236650086830777,0.6307306664141484,0.0113062696024711,0.0452250784098917,0.0008695518602336,0.0048287311864027
3,24,irno,corrected_lmax24,smooth1,3,1.192013617720519,0.6661714772005485,0.0113062696024711,0.0452250784098917,0.0003135706192125,0.0016368130237069
3,24,irno,corrected_lmax24,smooth2,3,1.1525538923847936,0.6019313303031468,0.0113062696024711,0.0452250784098917,0.000404681722087,0.0019999547787425
3,24,irno,corrected_lmax24,x,3,1.1909166354704357,0.6174850458747219,0.0113062696024711,0.0452250784098917,0.0011864842423481,0.0061839395272798
3,24,irno,corrected_lmax24,y,3,1.192147197074275,0.5742862965901496,0.0113062696024711,0.0452250784098917,0.0011787638081221,0.006154190340833
3,24,irno,corrected_lmax24,z,3,1.1850017829158448,0.5849689503915764,0.0113062696024711,0.0452250784098917,0.0009587530588945,0.0049562011681406
