pair,function,method,step,lmax,step_label,n_src,n_tgt,h_src,h_tgt,area_rel_l2,rel_l2,linf,source_integral,target_pred_integral,target_truth_integral,conservation_abs_error_vs_source,target_integral_abs_error_vs_truth,h_max,h_min
ICOD-r16_to_CS-r16,smooth1,tempest,-1,-1,tempest,2562,1536,0.07003503810937581,0.09045015681978345,0.00091197130534636,0.0008980363524983228,0.006230233408096031,12.566371546358079,12.566371546358077,12.566370614359172,1.7763568394002505e-15,9.319989047185118e-07,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,smooth1,irno,0,0,base,2562,1536,0.07003503810937581,0.09045015681978345,0.0008313555163255694,0.000816509514551296,0.00591408446635644,12.566371546358079,12.56637168808658,12.566370614359172,1.4172850093530087e-07,1.0737274074301695e-06,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,smooth1,irno,1,8,corrected_lmax8,2562,1536,0.07003503810937581,0.09045015681978345,0.0008198244501803792,0.0008042750819560673,0.005839668461270375,12.566371546358079,12.566371688866479,12.566370614359172,1.4250839974749852e-07,1.0745073062423671e-06,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,smooth1,irno,2,16,corrected_lmax16,2562,1536,0.07003503810937581,0.09045015681978345,0.0008194251673673459,0.0008035629481608255,0.005780359233200083,12.566371546358079,12.566371699778667,12.566370614359172,1.5342058823364368e-07,1.0854194947285123e-06,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,smooth1,irno,3,24,corrected_lmax24,2562,1536,0.07003503810937581,0.09045015681978345,0.000830260957599204,0.0008145614557949173,0.005807633369641851,12.566371546358079,12.566371687387473,12.566370614359172,1.4102939438487283e-07,1.0730283008797414e-06,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,smooth2,tempest,-1,-1,tempest,2562,1536,0.07003503810937581,0.09045015681978345,0.0009379645938807886,0.0009382427645748394,0.0038297384127381484,13.23117441330631,13.231174413306311,13.231171152281537,1.7763568394002505e-15,3.2610247746589494e-06,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,smooth2,irno,0,0,base,2562,1536,0.07003503810937581,0.09045015681978345,0.0007700805897044147,0.000766233458618118,0.003039041678671639,13.23117441330631,13.231174561761941,13.231171152281537,1.4845563178766952e-07,3.409480404670262e-06,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,smooth2,irno,1,8,corrected_lmax8,2562,1536,0.07003503810937581,0.09045015681978345,0.0007773372013073398,0.0007753830493749306,0.003409463169569582,13.23117441330631,13.231174565800323,13.231171152281537,1.5249401386085992e-07,3.4135187867434524e-06,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,smooth2,irno,2,16,corrected_lmax16,2562,1536,0.07003503810937581,0.09045015681978345,0.000797178422465173,0.0007971934661350546,0.003710820207631471,13.23117441330631,13.23117457135878,13.231171152281537,1.5805247066680295e-07,3.4190772435493955e-06,0.09045015681978345,0.07003503810937581
ICOD-r16_to_CS-r16,smooth2,irno,3,24,corrected_lmax24,2562,1536,0.07003503810937581,0.09045015681978345,0.0008266099896819345,0.0008284905834210818,0.003930706972738562,13.23117441330631,13.231174562080614,13.231171152281537,1.487743048755874e-07,3.40979907775818e-06,0.09045015681978345,0.07003503810937581
