method,step,lmax,step_label,function,coarse_pair,fine_pair,h_col,h_coarse,h_fine,E_coarse,E_fine,observed_order
irno,0,0,base,smooth1,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.0008313555163255694,0.00037461544288196246,1.150055181716455
irno,0,0,base,smooth1,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.00037461544288196246,0.00014053179779038378,1.4145137709422178
irno,0,0,base,smooth1,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.00014053179779038378,0.0004675285060839853,-1.7341577289820898
irno,0,0,base,smooth2,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.0007700805897044147,0.00040979943821365777,0.9100914266010373
irno,0,0,base,smooth2,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.00040979943821365777,0.00014365282204755129,1.5123316718160065
irno,0,0,base,smooth2,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.00014365282204755129,0.000437074862104647,-1.6052940706692935
irno,0,0,base,x,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.002240721378790537,0.0012753433034826563,0.8130776174679117
irno,0,0,base,x,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0012753433034826563,0.0004131958808082677,1.6259878744347556
irno,0,0,base,x,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.0004131958808082677,0.0005934297418681257,-0.5222513625853213
irno,0,0,base,y,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.002028273704236536,0.0011761720120420037,0.7861532832031141
irno,0,0,base,y,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0011761720120420037,0.00040296303553339957,1.5453796568032558
irno,0,0,base,y,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.00040296303553339957,0.0006269081278886233,-0.6376065304755995
irno,0,0,base,z,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.002448094726924928,0.0017024587255293445,0.5240395610465582
irno,0,0,base,z,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0017024587255293445,0.0007132917965109868,1.2550555354153938
irno,0,0,base,z,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.0007132917965109868,0.0006356970348490042,0.16615302225561532
irno,1,8,corrected_lmax8,smooth1,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.0008198244501803792,0.0003567472221708704,1.2004128209550324
irno,1,8,corrected_lmax8,smooth1,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0003567472221708704,0.00014522999361484448,1.2965627595282552
irno,1,8,corrected_lmax8,smooth1,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.00014522999361484448,0.0004308635097170441,-1.5688914836610572
irno,1,8,corrected_lmax8,smooth2,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.0007773372013073398,0.00039845580070094997,0.9641208614595006
irno,1,8,corrected_lmax8,smooth2,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.00039845580070094997,0.00014118433540739802,1.4968396714836796
irno,1,8,corrected_lmax8,smooth2,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.00014118433540739802,0.000405570610433084,-1.5223730830886875
irno,1,8,corrected_lmax8,x,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.0022259597035422865,0.0012120714683439208,0.8769527077609575
irno,1,8,corrected_lmax8,x,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0012120714683439208,0.00041223148308058345,1.555948171920601
irno,1,8,corrected_lmax8,x,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.00041223148308058345,0.0005706618125976166,-0.4691813332711118
irno,1,8,corrected_lmax8,y,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.0020013905251879175,0.0011284759364330722,0.8266270484680683
irno,1,8,corrected_lmax8,y,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0011284759364330722,0.0004003374400018625,1.4950872053081465
irno,1,8,corrected_lmax8,y,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.0004003374400018625,0.0006007578518961487,-0.5855670550041226
irno,1,8,corrected_lmax8,z,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.002476836698626838,0.0016598745227283547,0.5774245667977801
irno,1,8,corrected_lmax8,z,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0016598745227283547,0.0007107384794776689,1.2236834717504874
irno,1,8,corrected_lmax8,z,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.0007107384794776689,0.0006152747912323439,0.20808792483469737
irno,2,16,corrected_lmax16,smooth1,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.0008194251673673459,0.00036331414036440147,1.1733946863849627
irno,2,16,corrected_lmax16,smooth1,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.00036331414036440147,0.00014990870680843776,1.2771333387311505
irno,2,16,corrected_lmax16,smooth1,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.00014990870680843776,0.00039468719120053144,-1.3966255216368453
irno,2,16,corrected_lmax16,smooth2,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.000797178422465173,0.00041923376484194556,0.9271477453555982
irno,2,16,corrected_lmax16,smooth2,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.00041923376484194556,0.00014172672940283745,1.5646430417964967
irno,2,16,corrected_lmax16,smooth2,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.00014172672940283745,0.000375746513944188,-1.4066478457691378
irno,2,16,corrected_lmax16,x,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.0022607975330713845,0.001236368148348371,0.870723403864243
irno,2,16,corrected_lmax16,x,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.001236368148348371,0.0004166762582406727,1.569109588383537
irno,2,16,corrected_lmax16,x,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.0004166762582406727,0.0005577620923206466,-0.42072298734616564
irno,2,16,corrected_lmax16,y,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.0020332383320178487,0.001169431857756293,0.7979715358631786
irno,2,16,corrected_lmax16,y,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.001169431857756293,0.00040332120773476125,1.535806625267523
irno,2,16,corrected_lmax16,y,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.00040332120773476125,0.0005893807305484502,-0.5472706245802644
irno,2,16,corrected_lmax16,z,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.002568724085325211,0.0016757879917615,0.6162122926510707
irno,2,16,corrected_lmax16,z,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0016757879917615,0.0007020547167712699,1.2551842606768295
irno,2,16,corrected_lmax16,z,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.0007020547167712699,0.000608252465784171,0.20691321204898463
irno,3,24,corrected_lmax24,smooth1,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.000830260957599204,0.0003822594707074568,1.1190126125584157
irno,3,24,corrected_lmax24,smooth1,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0003822594707074568,0.00015535336117860815,1.298998790149528
irno,3,24,corrected_lmax24,smooth1,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.00015535336117860815,0.0003658872437170692,-1.2358456629595078
irno,3,24,corrected_lmax24,smooth2,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.0008266099896819345,0.00045417834829238263,0.8639478678090597
irno,3,24,corrected_lmax24,smooth2,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.00045417834829238263,0.0001491003068104851,1.606975704829569
irno,3,24,corrected_lmax24,smooth2,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.0001491003068104851,0.0003545565502239704,-1.2497325230625287
irno,3,24,corrected_lmax24,x,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.0023365278454118414,0.0013153576805343288,0.828911070729032
irno,3,24,corrected_lmax24,x,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0013153576805343288,0.00043103423794740793,1.609580784545308
irno,3,24,corrected_lmax24,x,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.00043103423794740793,0.0005603927529004935,-0.37863582856025285
irno,3,24,corrected_lmax24,y,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.002122753239986901,0.0012584408053762908,0.7542993180146258
irno,3,24,corrected_lmax24,y,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0012584408053762908,0.00041674100124715606,1.5944144041842843
irno,3,24,corrected_lmax24,y,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.00041674100124715606,0.0005965769177692544,-0.5175571120510039
irno,3,24,corrected_lmax24,z,ICOD-r16_to_CS-r16,ICOD-r32_to_CS-r32,h_max,0.09045015681978345,0.04522507840989173,0.002711678345347046,0.0017299275088240842,0.6484744744110529
irno,3,24,corrected_lmax24,z,ICOD-r32_to_CS-r32,ICOD-r64_to_CS-r64,h_max,0.04522507840989173,0.02261253920494578,0.0017299275088240842,0.0006911428370287542,1.3236557789168266
irno,3,24,corrected_lmax24,z,ICOD-r64_to_CS-r64,ICOD-r128_to_CS-r128,h_max,0.02261253920494578,0.011306269602472774,0.0006911428370287542,0.0006168820767751061,0.16398917012453562
