step,lmax,method,step_label,function,n_levels,fitted_order,r2,h_min,h_max,err_finest,err_coarsest
-1,-1,tempest,tempest,smooth1,4,1.1788081938581307,0.9966905518200371,0.0113062696024727,0.0904501568197834,7.8003388429233e-05,0.0009119713053463
-1,-1,tempest,tempest,smooth2,4,1.076173604128598,0.9992094723488849,0.0113062696024727,0.0904501568197834,9.940774181344356e-05,0.0009379645938807
-1,-1,tempest,tempest,x,4,1.0612354846491647,0.9996501135437557,0.0113062696024727,0.0904501568197834,0.0002945983148865,0.0026843385997908
-1,-1,tempest,tempest,y,4,1.0663058589591954,0.9992993097917248,0.0113062696024727,0.0904501568197834,0.0002943117537682,0.0027150824677552
-1,-1,tempest,tempest,z,4,1.0315812856589237,0.9997189355858269,0.0113062696024727,0.0904501568197834,0.0003972357448102,0.0034109589033164
0,0,irno,base,smooth1,4,0.39057474419728877,0.22270607664021402,0.0113062696024727,0.0904501568197834,0.0004675285060839,0.0008313555163255
0,0,irno,base,smooth2,4,0.39637187550598313,0.2567826852803633,0.0113062696024727,0.0904501568197834,0.0004370748621046,0.0007700805897044
0,0,irno,base,x,4,0.7376430262387005,0.7547157915128173,0.0113062696024727,0.0904501568197834,0.0005934297418681,0.0022407213787905
0,0,irno,base,y,4,0.6627158885395921,0.7003399405266384,0.0113062696024727,0.0904501568197834,0.0006269081278886,0.0020282737042365
0,0,irno,base,z,4,0.7090799891568174,0.9271183052517512,0.0113062696024727,0.0904501568197834,0.000635697034849,0.0024480947269249
1,8,irno,corrected_lmax8,smooth1,4,0.4080815049995006,0.2611449386832597,0.0113062696024727,0.0904501568197834,0.000430863509717,0.0008198244501803
1,8,irno,corrected_lmax8,smooth2,4,0.43126020210485316,0.29935828913713036,0.0113062696024727,0.0904501568197834,0.000405570610433,0.0007773372013073
1,8,irno,corrected_lmax8,x,4,0.7447106811152094,0.7720701245697452,0.0113062696024727,0.0904501568197834,0.0005706618125976,0.0022259597035422
1,8,irno,corrected_lmax8,y,4,0.6703528801624795,0.7193836369325315,0.0113062696024727,0.0904501568197834,0.0006007578518961,0.0020013905251879
1,8,irno,corrected_lmax8,z,4,0.7251271361899674,0.9385305897580392,0.0113062696024727,0.0904501568197834,0.0006152747912323,0.0024768366986268
2,16,irno,corrected_lmax16,smooth1,4,0.44388408491693016,0.3259826084895786,0.0113062696024727,0.0904501568197834,0.0003946871912005,0.0008194251673673
2,16,irno,corrected_lmax16,smooth2,4,0.48200718659461156,0.3659363330115797,0.0113062696024727,0.0904501568197834,0.0003757465139441,0.0007971784224651
2,16,irno,corrected_lmax16,x,4,0.7626439603088674,0.788877604159024,0.0113062696024727,0.0904501568197834,0.0005577620923206,0.0022607975330713
2,16,irno,corrected_lmax16,y,4,0.6895329234919122,0.7365525146832435,0.0113062696024727,0.0904501568197834,0.0005893807305484,0.0020332383320178
2,16,irno,corrected_lmax16,z,4,0.7490113556808076,0.9383734619873756,0.0113062696024727,0.0904501568197834,0.0006082524657841,0.0025687240853252
3,24,irno,corrected_lmax24,smooth1,4,0.4845496009395385,0.4008273332399984,0.0113062696024727,0.0904501568197834,0.000365887243717,0.0008302609575992
3,24,irno,corrected_lmax24,smooth2,4,0.527054885355901,0.4404071547449683,0.0113062696024727,0.0904501568197834,0.0003545565502239,0.0008266099896819
3,24,irno,corrected_lmax24,x,4,0.7789148864688136,0.8022227723413877,0.0113062696024727,0.0904501568197834,0.0005603927529004,0.0023365278454118
3,24,irno,corrected_lmax24,y,4,0.7087884234628403,0.749363730215684,0.0113062696024727,0.0904501568197834,0.0005965769177692,0.0021227532399869
3,24,irno,corrected_lmax24,z,4,0.7732014049274035,0.9294155673542994,0.0113062696024727,0.0904501568197834,0.0006168820767751,0.002711678345347
