method,step,lmax,step_label,function,coarse_pair,fine_pair,h_col,h_coarse,h_fine,E_coarse,E_fine,observed_order
irno,0,0,base,smooth1,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0005045771242633739,0.00023761715178711158,1.0864358239687224
irno,0,0,base,smooth1,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.00023761715178711158,0.0004880242260636524,-1.0383137893934176
irno,0,0,base,smooth2,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0005663988746472823,0.00024073761297875964,1.2343568320971747
irno,0,0,base,smooth2,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.00024073761297875964,0.00046656845108140253,-0.9546271900420565
irno,0,0,base,x,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0017466203307784892,0.0004860257090333087,1.8454615040554865
irno,0,0,base,x,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0004860257090333087,0.0006381609008907233,-0.39288759038930904
irno,0,0,base,y,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0017307516348392896,0.0005664245812650795,1.6114429300219921
irno,0,0,base,y,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0005664245812650795,0.0006510174971020392,-0.20081244280585364
irno,0,0,base,z,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0018590304251948964,0.0007491526827609315,1.3112186963355457
irno,0,0,base,z,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0007491526827609315,0.0006396216655937748,0.2280409730307616
irno,1,8,corrected_lmax8,smooth1,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0004926183706883917,0.00024333830733177307,1.0175069764899132
irno,1,8,corrected_lmax8,smooth1,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.00024333830733177307,0.00045593191489446685,-0.9058549470869979
irno,1,8,corrected_lmax8,smooth2,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0005603473074256078,0.00024362723947447002,1.2016458503968248
