held_out_family,n_train_families,level,spectral_err_mean,spectral_err_std,n_seeds,n_eval_pairs
HEALPix,2,D2,3.977626e-02,1.478854e-03,3,4
HEALPix,3,D3,3.376573e-02,3.563606e-03,3,4
HEALPix,4,D4,2.903309e-02,1.148432e-03,3,4
HEALPix,5,D5,3.054039e-02,5.021234e-03,3,4
MPAS,2,D2,6.033220e-02,1.779459e-02,3,1
MPAS,3,D3,2.170251e-02,3.446486e-03,3,1
MPAS,4,D4,1.467957e-02,3.244901e-03,3,1
ICO,2,D2,3.661834e-02,4.849166e-03,3,2
ICO,3,D3,2.309622e-02,3.566616e-03,3,2
RLL,2,D2,4.753433e-02,1.145869e-03,3,3
