shell_label,mean,std,count,cond
l1-8,9.666142e-04,2.083096e-05,3,D2
l9-16,4.440178e-03,1.722960e-04,3,D2
l17-24,1.518599e-02,4.140774e-04,3,D2
l25-32,3.532016e-02,1.036465e-03,3,D2
l33-40,6.634075e-02,2.602369e-03,3,D2
l41-48,1.164039e-01,4.815457e-03,3,D2
l1-8,9.997211e-04,2.652794e-05,3,D3
l9-16,3.428654e-03,1.705258e-04,3,D3
l17-24,1.066225e-02,5.981952e-04,3,D3
l25-32,2.652367e-02,2.425716e-03,3,D3
l33-40,5.512968e-02,6.760743e-03,3,D3
l41-48,1.058504e-01,1.163844e-02,3,D3
l1-8,9.895284e-04,1.481129e-05,3,D4
l9-16,3.329688e-03,1.592960e-04,3,D4
l17-24,9.971504e-03,5.362278e-04,3,D4
l25-32,2.327238e-02,1.355330e-03,3,D4
l33-40,4.596613e-02,2.325567e-03,3,D4
l41-48,9.066933e-02,2.573648e-03,3,D4
l1-8,9.740823e-04,2.839202e-05,3,D5
l9-16,3.419001e-03,1.153634e-04,3,D5
l17-24,1.045739e-02,6.809661e-04,3,D5
l25-32,2.457873e-02,2.827387e-03,3,D5
l33-40,4.854619e-02,9.349198e-03,3,D5
l41-48,9.526693e-02,1.736311e-02,3,D5
